rule,normalized_support,coverage,h_value,ch_value,oh_value,normalized_h_value
thalachcp >= 160.5 & comcp >= 1.5,0.2556390977443609,0.2556390977443609,0.85,0.2172932330827067,0.2172932330827067,0.02182355294835441
thalachcp >= 160.5 & comcp >= 0.5,0.4135338345864661,0.4135338345864661,0.8461538461538461,0.3499132446500867,0.3499132446500866,0.021724803839990814
thalachcp >= 160.5 & comcp >= 0.5 & thalcp >= 1.5,0.4060150375939849,0.4060150375939849,0.84375,0.3425751879699248,0.3425751879699247,0.021663085647263568
thalachcp >= 160.5 & comcp >= 0.5 & agecp >= 37.5,0.3759398496240601,0.3759398496240601,0.8333333333333334,0.3132832080200501,0.31328320802005,0.0213956401454455
thalachcp >= 160.5 & comcp >= 0.5 & agecp >= 37.5 & thalcp >= 1.5,0.3684210526315789,0.3684210526315789,0.8305084745762712,0.3059768064228367,0.3059768064228367,0.021323112551732123
comcp >= 1.5 & cholcp >= 231.5 & thalcp >= 1.5 & thalachcp >= 110.0,0.2706766917293233,0.2706766917293233,0.8,0.2165413533834586,0.2165413533834586,0.02053981453962768
comcp >= 1.5 & cholcp >= 231.5 & agecp >= 37.5 & thalcp >= 1.5 & thalachcp >= 110.0,0.2631578947368421,0.2631578947368421,0.7954545454545454,0.2093301435406698,0.2093301435406698,0.020423111047925248
comcp >= 0.5 & thalcp >= 1.5 & thalachcp >= 110.0,0.7293233082706767,0.7293233082706767,0.7886178861788617,0.5751574057093954,0.5751574057093954,0.020247581405933787
comcp >= 1.5 & cholcp >= 231.5 & thalachcp >= 110.0,0.2781954887218045,0.2781954887218045,0.7872340425531915,0.2190049592065269,0.2190049592065269,0.020212051541654896
cholcp >= 231.5 & comcp >= 0.5 & thalcp >= 1.5 & thalachcp >= 110.0,0.4135338345864661,0.4135338345864661,0.7857142857142857,0.3249194414607948,0.3249194414607947,0.020173032137134325
trestbpscp >= 129.0 & comcp >= 0.5 & thalcp >= 1.5 & thalachcp >= 110.0,0.4135338345864661,0.4135338345864661,0.7857142857142857,0.3249194414607948,0.3249194414607947,0.020173032137134325
trestbpscp >= 129.0 & cholcp >= 231.5 & comcp >= 0.5 & thalcp >= 1.5 & thalachcp >= 110.0,0.2706766917293233,0.2706766917293233,0.782608695652174,0.2118339326577313,0.2118339326577313,0.020093296832244468
comcp >= 1.5 & cholcp >= 231.5 & agecp >= 37.5 & thalachcp >= 110.0,0.2706766917293233,0.2706766917293233,0.782608695652174,0.2118339326577313,0.2118339326577313,0.020093296832244468
cholcp >= 231.5 & comcp >= 0.5 & agecp >= 37.5 & thalcp >= 1.5 & thalachcp >= 110.0,0.4060150375939849,0.4060150375939849,0.782608695652174,0.3177508989865969,0.3177508989865968,0.020093296832244468
comcp >= 1.5 & cholcp >= 231.5 & thalcp >= 1.5,0.2706766917293233,0.2706766917293233,0.782608695652174,0.2118339326577313,0.2118339326577313,0.020093296832244468
comcp >= 1.5 & trestbpscp >= 129.0 & thalcp >= 1.5 & thalachcp >= 110.0,0.2932330827067669,0.2932330827067669,0.78,0.2287218045112782,0.2287218045112782,0.020026319176136988
comcp >= 0.5 & agecp >= 37.5 & thalcp >= 1.5 & thalachcp >= 110.0,0.6917293233082706,0.6917293233082706,0.7796610169491526,0.5393143876640755,0.5393143876640755,0.020017615864891383
trestbpscp >= 129.0 & comcp >= 0.5 & agecp >= 37.5 & thalcp >= 1.5 & thalachcp >= 110.0,0.3984962406015037,0.3984962406015037,0.7794117647058824,0.3105926581158779,0.3105926581158779,0.02001121637132844
trestbpscp >= 129.0 & cholcp >= 231.5 & comcp >= 0.5 & agecp >= 37.5 & thalcp >= 1.5 & thalachcp >= 110.0,0.2631578947368421,0.2631578947368421,0.7777777777777778,0.2046783625730994,0.2046783625730994,0.01996926413574913
comcp >= 1.5 & cholcp >= 231.5 & agecp >= 37.5 & thalcp >= 1.5,0.2631578947368421,0.2631578947368421,0.7777777777777778,0.2046783625730994,0.2046783625730994,0.01996926413574913
comcp >= 0.5 & thalcp >= 1.5,0.7368421052631579,0.7368421052631579,0.7777777777777778,0.5730994152046783,0.5730994152046783,0.01996926413574913
comcp >= 1.5 & trestbpscp >= 129.0 & agecp >= 37.5 & thalcp >= 1.5 & thalachcp >= 110.0,0.2857142857142857,0.2857142857142857,0.7755102040816326,0.2215743440233236,0.2215743440233236,0.01991104470678193
comcp >= 0.5 & thalachcp >= 110.0,0.7518796992481203,0.7518796992481203,0.7751937984496124,0.5828524800373026,0.5828524800373026,0.019902921065530696
trestbpscp >= 129.0 & comcp >= 0.5 & thalcp >= 1.5,0.4135338345864661,0.4135338345864661,0.7746478873239436,0.3203431112993751,0.3203431112993751,0.01988890492393525
comcp >= 1.5 & thalcp >= 1.5 & thalachcp >= 110.0,0.4887218045112781,0.4887218045112781,0.7738095238095238,0.3781775868242034,0.3781775868242033,0.019867380135056536
comcp >= 1.5 & cholcp >= 231.5,0.2781954887218045,0.2781954887218045,0.7708333333333334,0.2144423558897243,0.2144423558897243,0.019790967134537086
comcp >= 1.5 & trestbpscp >= 129.0 & thalachcp >= 110.0,0.3007518796992481,0.3007518796992481,0.7692307692307693,0.2313475997686524,0.2313475997686524,0.019749821672718923
comcp >= 0.5 & agecp >= 37.5 & thalcp >= 1.5,0.6992481203007519,0.6992481203007519,0.768595041322314,0.5374386379171068,0.5374386379171068,0.019733499506047254
trestbpscp >= 129.0 & comcp >= 0.5 & agecp >= 37.5 & thalcp >= 1.5,0.3984962406015037,0.3984962406015037,0.7681159420289855,0.3060913152446333,0.3060913152446332,0.019721198742758458
comcp >= 1.5 & thalcp >= 1.5,0.4962406015037593,0.4962406015037593,0.7674418604651163,0.3808358104563735,0.3808358104563734,0.01970389185487539
trestbpscp >= 129.0 & comcp >= 0.5 & thalachcp >= 110.0,0.4210526315789473,0.4210526315789473,0.7671232876712328,0.3229992790194664,0.3229992790194664,0.019695712572245717
cholcp >= 231.5 & comcp >= 0.5 & thalachcp >= 110.0,0.4210526315789473,0.4210526315789473,0.7671232876712328,0.3229992790194664,0.3229992790194664,0.019695712572245717
comcp >= 0.5 & agecp >= 37.5 & thalachcp >= 110.0,0.7142857142857143,0.7142857142857143,0.7661290322580645,0.5472350230414746,0.5472350230414746,0.019670185295006345
trestbpscp >= 129.0 & cholcp >= 231.5 & comcp >= 0.5 & thalcp >= 1.5,0.2706766917293233,0.2706766917293233,0.7659574468085106,0.2073268277075667,0.2073268277075667,0.019665779878366926
comcp >= 1.5 & cholcp >= 231.5 & agecp >= 37.5,0.2706766917293233,0.2706766917293233,0.7659574468085106,0.2073268277075667,0.2073268277075667,0.019665779878366926
