rule,normalized_support,coverage,h_value,ch_value,oh_value,normalized_h_value
cacp < 0.5 & thalcp < 2.5 & exangcp < 0.5 & oldpeakcp < 2.3499999999999996,0.5939849624060151,0.5939849624060151,0.9518072289156626,0.5653591810852432,0.5653591810852432,0.0339894367477689
thalachcp >= 110.0 & cacp < 0.5 & thalcp < 2.5 & exangcp < 0.5 & oldpeakcp < 2.3499999999999996,0.5864661654135338,0.5864661654135338,0.951219512195122,0.5578580597836053,0.5578580597836053,0.03396844913631613
thalcp >= 1.5 & cacp < 0.5 & thalcp < 2.5 & exangcp < 0.5 & oldpeakcp < 2.3499999999999996,0.5639097744360902,0.5639097744360902,0.9493670886075948,0.5353573807937565,0.5353573807937565,0.03390229831034471
thalcp >= 1.5 & thalachcp >= 110.0 & cacp < 0.5 & thalcp < 2.5 & exangcp < 0.5 & oldpeakcp < 2.3499999999999996,0.556390977443609,0.556390977443609,0.9487179487179488,0.5278581068054752,0.5278581068054752,0.03387911725167098
agecp >= 37.5 & cacp < 0.5 & thalcp < 2.5 & exangcp < 0.5 & oldpeakcp < 2.3499999999999996,0.556390977443609,0.556390977443609,0.9487179487179488,0.5278581068054752,0.5278581068054752,0.03387911725167098
agecp >= 37.5 & thalachcp >= 110.0 & cacp < 0.5 & thalcp < 2.5 & exangcp < 0.5 & oldpeakcp < 2.3499999999999996,0.5488721804511278,0.5488721804511278,0.948051948051948,0.5203593399082121,0.5203593399082121,0.03385533408757714
cholcp < 272.5 & cacp < 0.5 & thalcp < 2.5 & oldpeakcp < 2.3499999999999996,0.5413533834586466,0.5413533834586466,0.9473684210526316,0.5128611001187178,0.5128611001187178,0.033830925050744
thalachcp >= 110.0 & cholcp < 272.5 & cacp < 0.5 & thalcp < 2.5 & oldpeakcp < 2.3499999999999996,0.5338345864661654,0.5338345864661654,0.9466666666666668,0.5053634085213032,0.5053634085213032,0.03380586510626197
agecp >= 37.5 & thalcp >= 1.5 & cacp < 0.5 & thalcp < 2.5 & exangcp < 0.5 & oldpeakcp < 2.3499999999999996,0.5263157894736842,0.5263157894736842,0.945945945945946,0.4978662873399715,0.4978662873399715,0.033780127865983126
agecp >= 37.5 & thalcp >= 1.5 & thalachcp >= 110.0 & cacp < 0.5 & thalcp < 2.5 & exangcp < 0.5 & oldpeakcp < 2.3499999999999996,0.518796992481203,0.518796992481203,0.9452054794520548,0.4903697600164796,0.4903697600164796,0.03375368549583362
thalcp >= 1.5 & cholcp < 272.5 & cacp < 0.5 & thalcp < 2.5 & oldpeakcp < 2.3499999999999996,0.5037593984962406,0.5037593984962406,0.943661971830986,0.4753785873133538,0.4753785873133538,0.03369856618904312
agecp >= 37.5 & cholcp < 272.5 & cacp < 0.5 & thalcp < 2.5 & oldpeakcp < 2.3499999999999996,0.5037593984962406,0.5037593984962406,0.943661971830986,0.4753785873133538,0.4753785873133538,0.03369856618904312
comcp >= 0.5 & cacp < 0.5 & thalcp < 2.5,0.5037593984962406,0.5037593984962406,0.9305555555555556,0.4687761069340017,0.4687761069340017,0.033230530547528635
agecp < 56.5 & thalcp < 2.5 & exangcp < 0.5 & oldpeakcp < 2.3499999999999996,0.5037593984962406,0.5037593984962406,0.9305555555555556,0.4687761069340017,0.4687761069340017,0.033230530547528635
thalachcp >= 110.0 & agecp < 56.5 & thalcp < 2.5 & exangcp < 0.5 & oldpeakcp < 2.3499999999999996,0.5037593984962406,0.5037593984962406,0.9305555555555556,0.4687761069340017,0.4687761069340017,0.033230530547528635
cacp < 0.5 & thalcp < 2.5 & exangcp < 0.5,0.6015037593984962,0.6015037593984962,0.9302325581395348,0.5595383808358104,0.5595383808358104,0.03321899617385715
thalachcp >= 110.0 & cacp < 0.5 & thalcp < 2.5 & exangcp < 0.5,0.5939849624060151,0.5939849624060151,0.9294117647058824,0.5520566121185316,0.5520566121185316,0.03318968529488022
