rule,normalized_support,coverage,h_value,ch_value,oh_value,normalized_coverage
agecp >= 37.5,1.0,0.981651376146789,0.4572649572649572,0.4488747745628479,0.4572649572649572,0.04147286821705426
thalcp >= 1.5,1.0,0.908256880733945,0.4361233480176211,0.3961120316857293,0.4361233480176211,0.03837209302325581
thalcp >= 1.5 & agecp >= 37.5,1.0,0.8899082568807339,0.4429223744292237,0.3941602781617862,0.4429223744292237,0.0375968992248062
thalachcp >= 110.0,1.0,0.8807339449541285,0.4210526315789473,0.3708353452438435,0.4210526315789473,0.037209302325581395
fbscp < 0.5,0.75,0.8715596330275229,0.4502369668246445,0.3924083655811122,0.3376777251184834,0.036821705426356585
thalachcp >= 110.0 & agecp >= 37.5,1.0,0.8623853211009175,0.4272727272727272,0.3684737281067556,0.4272727272727272,0.03643410852713178
agecp >= 37.5 & fbscp < 0.5,0.75,0.8532110091743119,0.458128078817734,0.3908799204591675,0.3435960591133005,0.03604651162790697
sexcp >= 0.5,1.0,0.8165137614678899,0.559748427672956,0.4570422941549824,0.559748427672956,0.03449612403100775
thalcp >= 1.5 & thalachcp >= 110.0,1.0,0.8073394495412844,0.4093023255813953,0.3304459142308513,0.4093023255813953,0.034108527131782945
thalcp >= 1.5 & fbscp < 0.5,0.75,0.8073394495412844,0.44,0.3552293577981651,0.33,0.034108527131782945
sexcp >= 0.5 & agecp >= 37.5,1.0,0.7981651376146789,0.5686274509803921,0.4538586076632487,0.5686274509803921,0.033720930232558136
comcp < 1.5,0.5,0.7981651376146789,0.5761589403973509,0.4598699799501792,0.2880794701986754,0.033720930232558136
thalcp >= 1.5 & thalachcp >= 110.0 & agecp >= 37.5,1.0,0.7889908256880734,0.4154589371980676,0.3277932898993928,0.4154589371980676,0.03333333333333333
thalachcp < 160.5,1.0,0.7889908256880734,0.5657894736842105,0.4464027040077257,0.5657894736842105,0.03333333333333333
thalcp >= 1.5 & agecp >= 37.5 & fbscp < 0.5,0.75,0.7889908256880734,0.4479166666666667,0.3534021406727829,0.3359375,0.03333333333333333
agecp >= 37.5 & comcp < 1.5,0.5,0.7798165137614679,0.5821917808219178,0.4540027648611285,0.2910958904109589,0.03294573643410852
thalachcp >= 110.0 & fbscp < 0.5,0.75,0.7706422018348624,0.42,0.3236697247706422,0.315,0.03255813953488372
agecp >= 37.5 & thalachcp < 160.5,1.0,0.7706422018348624,0.56,0.431559633027523,0.56,0.03255813953488372
oldpeakcp >= 0.55,0.75,0.7522935779816514,0.5985401459854015,0.4502779079890177,0.4489051094890511,0.03178294573643411
thalachcp >= 110.0 & agecp >= 37.5 & fbscp < 0.5,0.75,0.7522935779816514,0.4270833333333333,0.3212920489296636,0.3203125,0.03178294573643411
oldpeakcp >= 0.55 & agecp >= 37.5,0.75,0.7431192660550459,0.6044776119402985,0.4491989593317814,0.4533582089552238,0.0313953488372093
sexcp >= 0.5 & thalcp >= 1.5,1.0,0.7247706422018348,0.5448275862068965,0.3948750395444479,0.5448275862068965,0.030620155038759686
sexcp >= 0.5 & fbscp < 0.5,0.75,0.7247706422018348,0.5766423357664233,0.4179334360141967,0.4324817518248175,0.030620155038759686
thalcp >= 1.5 & comcp < 1.5,0.5,0.7247706422018348,0.5602836879432624,0.4060771683258508,0.2801418439716312,0.030620155038759686
oldpeakcp < 2.3499999999999996,0.75,0.7247706422018348,0.3744075829383886,0.2713596243314926,0.2808056872037914,0.030620155038759686
thalcp >= 1.5 & thalachcp >= 110.0 & fbscp < 0.5,0.75,0.7155963302752294,0.4105263157894737,0.2937711250603573,0.3078947368421053,0.030232558139534883
comcp < 0.5,0.5,0.7155963302752294,0.7090909090909091,0.5074228523769808,0.3545454545454545,0.030232558139534883
sexcp >= 0.5 & thalachcp >= 110.0,1.0,0.7155963302752294,0.527027027027027,0.3771386064964046,0.527027027027027,0.030232558139534883
agecp >= 37.5 & oldpeakcp < 2.3499999999999996,0.75,0.7064220183486238,0.3774509803921568,0.2666396833962943,0.2830882352941176,0.029844961240310074
sexcp >= 0.5 & thalcp >= 1.5 & agecp >= 37.5,1.0,0.7064220183486238,0.5539568345323741,0.3913273051283744,0.5539568345323741,0.029844961240310074
