rule,normalized_support,coverage,h_value,ch_value,oh_value,normalized_ch_value
comcp < 0.5,0.5,0.7155963302752294,0.7090909090909091,0.5074228523769808,0.3545454545454545,0.013727779091062221
agecp >= 37.5 & comcp < 0.5,0.5,0.6972477064220184,0.7102803738317757,0.4952413615707794,0.3551401869158878,0.013398221969218008
thalcp >= 2.5,0.5,0.6146788990825688,0.7528089887640449,0.462735800432945,0.3764044943820224,0.012518819000981785
comcp < 1.5,0.5,0.7981651376146789,0.5761589403973509,0.4598699799501792,0.2880794701986754,0.012441287312533465
thalcp >= 1.5 & comcp < 0.5,0.5,0.6513761467889908,0.7029702970297029,0.4578980833863202,0.3514851485148514,0.012387939773509011
comcp < 0.5 & thalachcp < 160.5,0.5,0.5963302752293578,0.7647058823529411,0.4560172692930382,0.3823529411764705,0.012337056372686634
agecp >= 37.5 & comcp < 1.5,0.5,0.7798165137614679,0.5821917808219178,0.4540027648611285,0.2910958904109589,0.01228255612365434
oldpeakcp >= 0.55 & comcp < 0.5,0.5,0.5504587155963303,0.821917808219178,0.4524318210380796,0.410958904109589,0.012240055929454844
oldpeakcp >= 0.55,0.75,0.7522935779816514,0.5985401459854015,0.4502779079890177,0.4489051094890511,0.012181784130342195
oldpeakcp >= 0.55 & agecp >= 37.5 & comcp < 0.5,0.5,0.5412844036697247,0.8309859154929577,0.4497997157255459,0.4154929577464789,0.012168847153370731
oldpeakcp >= 0.55 & agecp >= 37.5,0.75,0.7431192660550459,0.6044776119402985,0.4491989593317814,0.4533582089552238,0.012152594335779822
agecp >= 37.5,1.0,0.981651376146789,0.4572649572649572,0.4488747745628479,0.4572649572649572,0.012143823865802447
thalachcp < 160.5,1.0,0.7889908256880734,0.5657894736842105,0.4464027040077257,0.5657894736842105,0.012076944657821831
thalcp >= 1.5 & agecp >= 37.5 & comcp < 0.5,0.5,0.6330275229357798,0.7040816326530612,0.445703051862947,0.3520408163265306,0.012058016322136678
thalcp >= 2.5 & agecp >= 37.5,0.5,0.5963302752293578,0.7471264367816092,0.4455341136771064,0.3735632183908046,0.012053445881360507
comcp < 1.5 & thalachcp < 160.5,0.5,0.6422018348623854,0.693069306930693,0.4450903805976928,0.3465346534653465,0.012041441160522547
thalcp >= 2.5 & oldpeakcp >= 0.55,0.5,0.5045871559633027,0.873015873015873,0.4405125964758992,0.4365079365079365,0.011917594138544383
agecp >= 37.5 & comcp < 0.5 & thalachcp < 160.5,0.5,0.5779816513761468,0.7590361445783133,0.4387089642975572,0.3795180722891566,0.01186879881135361
oldpeakcp >= 0.55 & comcp < 1.5 & thalachcp < 160.5,0.5,0.5229357798165137,0.8382352941176471,0.4383432271991365,0.4191176470588235,0.01185890418782807
exangcp >= 0.5 & comcp < 0.5,0.5,0.4862385321100917,0.8983050847457628,0.4367905457938112,0.4491525423728814,0.011816898063682779
oldpeakcp >= 0.55 & comcp < 0.5 & thalachcp < 160.5,0.5,0.5045871559633027,0.859375,0.4336295871559633,0.4296875,0.011731381730129628
oldpeakcp >= 0.55 & thalachcp < 160.5,0.75,0.6422018348623854,0.6730769230769231,0.4322512350035286,0.5048076923076923,0.011694091896276704
agecp >= 37.5 & thalachcp < 160.5,1.0,0.7706422018348624,0.56,0.431559633027523,0.56,0.011675381349242663
thalcp >= 2.5 & oldpeakcp >= 0.55 & agecp >= 37.5,0.5,0.4954128440366973,0.8709677419354839,0.4314886060964782,0.4354838709677419,0.011673459792075241
exangcp >= 0.5 & comcp < 1.5,0.5,0.4954128440366973,0.8709677419354839,0.4314886060964782,0.4354838709677419,0.011673459792075241
oldpeakcp >= 0.55 & agecp >= 37.5 & comcp < 1.5 & thalachcp < 160.5,0.5,0.5137614678899083,0.835820895522388,0.4294125701766397,0.417910447761194,0.011617294874868319
agecp >= 37.5 & comcp < 1.5 & thalachcp < 160.5,0.5,0.6238532110091743,0.6868686868686869,0.4285052358446854,0.3434343434343434,0.011592747921154159
oldpeakcp >= 0.55 & comcp < 1.5,0.5,0.5779816513761468,0.7411764705882353,0.4283864004317323,0.3705882352941176,0.011589532956968818
thalcp >= 2.5 & comcp < 1.5,0.5,0.5045871559633027,0.8461538461538461,0.4269583627381792,0.4230769230769231,0.011550898934281479
oldpeakcp >= 0.55 & agecp >= 37.5 & comcp < 1.5,0.5,0.5688073394495413,0.7469879518072289,0.424892229468332,0.3734939759036144,0.011495001922611053
oldpeakcp >= 0.55 & agecp >= 37.5 & comcp < 0.5 & thalachcp < 160.5,0.5,0.4954128440366973,0.8571428571428571,0.4246395806028833,0.4285714285714285,0.011488166779502618
oldpeakcp >= 0.55 & agecp >= 37.5 & thalachcp < 160.5,0.75,0.6330275229357798,0.6699029126213593,0.4240669813841632,0.5024271844660194,0.011472675723974705
exangcp >= 0.5,0.5,0.5412844036697247,0.7763157894736842,0.4202076291646547,0.3881578947368421,0.011368265103806867
thalcp >= 2.5 & comcp < 0.5,0.5,0.4678899082568807,0.8947368421052632,0.4186383389666828,0.4473684210526316,0.011325809646653898
exangcp >= 0.5 & agecp >= 37.5 & comcp < 0.5,0.5,0.4678899082568807,0.8947368421052632,0.4186383389666828,0.4473684210526316,0.011325809646653898
exangcp >= 0.5 & thalcp >= 1.5 & comcp < 0.5,0.5,0.4587155963302752,0.9090909090909092,0.4170141784820684,0.4545454545454545,0.011281869732957119
thalachcp >= 110.0 & comcp < 0.5,0.5,0.6146788990825688,0.6767676767676768,0.4159948104902233,0.3383838383838384,0.011254291829165444
exangcp >= 0.5 & agecp >= 37.5 & comcp < 1.5,0.5,0.4770642201834862,0.8666666666666667,0.4134556574923548,0.4333333333333333,0.011185597777902552
thalcp >= 2.5 & thalachcp >= 110.0,0.5,0.5596330275229358,0.7349397590361446,0.4112965623963744,0.3674698795180723,0.011127185784088379
thalcp >= 2.5 & agecp >= 37.5 & comcp < 1.5,0.5,0.4862385321100917,0.8412698412698413,0.4090578127275375,0.4206349206349206,0.01106661882154419
thalcp >= 1.5 & comcp < 0.5 & thalachcp < 160.5,0.5,0.5321100917431193,0.7631578947368421,0.4060840173829068,0.3815789473684211,0.010986165989430136
thalcp >= 1.5 & comcp < 1.5,0.5,0.7247706422018348,0.5602836879432624,0.4060771683258508,0.2801418439716312,0.010985980695563675
thalachcp >= 110.0 & agecp >= 37.5 & comcp < 0.5,0.5,0.5963302752293578,0.6770833333333334,0.4037652905198777,0.3385416666666667,0.01092343532998296
thalcp >= 2.5 & oldpeakcp >= 0.55 & comcp < 1.5,0.5,0.4036697247706422,1.0,0.4036697247706422,0.5,0.01092084990150249
exangcp >= 0.5 & agecp >= 37.5,0.5,0.5229357798165137,0.7702702702702703,0.4028018844532606,0.3851351351351351,0.010897371415842011
oldpeakcp >= 0.55 & thalcp >= 1.5 & comcp < 0.5,0.5,0.4862385321100917,0.828125,0.4026662844036697,0.4140625,0.010893702902457562
exangcp >= 0.5 & thalcp >= 1.5 & comcp < 1.5,0.5,0.4587155963302752,0.8771929824561403,0.4023821020441011,0.4385964912280701,0.010886014654607746
thalcp >= 2.5 & agecp >= 37.5 & comcp < 0.5,0.5,0.4495412844036697,0.8909090909090909,0.4005004170141785,0.4454545454545454,0.010835107691532016
oldpeakcp >= 0.55 & thalcp >= 1.5 & agecp >= 37.5 & comcp < 0.5,0.5,0.4770642201834862,0.8387096774193549,0.4001183782184078,0.4193548387096774,0.0108247720431315
thalcp >= 1.5 & agecp >= 37.5 & comcp < 1.5,0.5,0.7064220183486238,0.5661764705882353,0.3999595250944414,0.2830882352941176,0.010820474442848973
exangcp >= 0.5 & thalcp >= 1.5 & agecp >= 37.5 & comcp < 0.5,0.5,0.4403669724770642,0.9056603773584906,0.398822918469794,0.4528301886792453,0.010789724774040195
exangcp >= 0.5 & comcp < 0.5 & thalachcp < 160.5,0.5,0.4311926605504587,0.9215686274509804,0.3973736283504227,0.4607843137254901,0.01075051578984804
thalcp >= 1.5,1.0,0.908256880733945,0.4361233480176211,0.3961120316857293,0.4361233480176211,0.010716384650042642
thalcp >= 2.5 & oldpeakcp >= 0.55 & agecp >= 37.5 & comcp < 1.5,0.5,0.3944954128440367,1.0,0.3944954128440367,0.5,0.010672648767377434
thalcp >= 2.5 & thalachcp >= 110.0 & agecp >= 37.5,0.5,0.5412844036697247,0.7283950617283951,0.3942688866236267,0.3641975308641975,0.010666520344312617
thalcp >= 1.5 & agecp >= 37.5,1.0,0.8899082568807339,0.4429223744292237,0.3941602781617862,0.4429223744292237,0.01066358205928154
exangcp >= 0.5 & comcp < 1.5 & thalachcp < 160.5,0.5,0.4403669724770642,0.8888888888888888,0.3914373088685015,0.4444444444444444,0.010589915056002413
oldpeakcp >= 0.55 & thalcp >= 1.5,0.75,0.6697247706422018,0.584,0.3911192660550458,0.4379999999999999,0.010581310750019411
oldpeakcp >= 0.55 & thalcp >= 1.5 & agecp >= 37.5,0.75,0.6605504587155964,0.5901639344262295,0.389833057602647,0.4426229508196721,0.01054651376478929
thalcp >= 1.5 & agecp >= 37.5 & comcp < 0.5 & thalachcp < 160.5,0.5,0.5137614678899083,0.7567567567567568,0.3887924621869576,0.3783783783783784,0.010518361575894291
oldpeakcp >= 0.55 & thalcp >= 1.5 & comcp < 1.5 & thalachcp < 160.5,0.5,0.4587155963302752,0.847457627118644,0.3887420307883688,0.423728813559322,0.010516997208688837
thalcp >= 2.5 & oldpeakcp >= 0.55 & thalachcp < 160.5,0.5,0.4220183486238532,0.92,0.388256880733945,0.46,0.010503871996172396
thalcp >= 1.5 & comcp < 1.5 & thalachcp < 160.5,0.5,0.5688073394495413,0.6813186813186813,0.387539066438149,0.3406593406593406,0.010484452303040851
thalcp >= 2.5 & oldpeakcp >= 0.55 & thalachcp >= 110.0,0.5,0.4495412844036697,0.8596491228070176,0.3864477708031547,0.4298245614035088,0.010454928474285278
exangcp >= 0.5 & oldpeakcp >= 0.55,0.5,0.4495412844036697,0.8596491228070176,0.3864477708031547,0.4298245614035088,0.010454928474285278
exangcp >= 0.5 & oldpeakcp >= 0.55 & comcp < 0.5,0.5,0.4036697247706422,0.9565217391304348,0.3861188671719187,0.4782608695652174,0.0104460303405676
exangcp >= 0.5 & oldpeakcp >= 0.55 & comcp < 1.5,0.5,0.4036697247706422,0.9565217391304348,0.3861188671719187,0.4782608695652174,0.0104460303405676
thalcp >= 2.5 & oldpeakcp >= 0.55 & comcp < 0.5,0.5,0.3853211009174312,1.0,0.3853211009174312,0.5,0.010424447633252377
exangcp >= 0.5 & thalcp >= 1.5 & agecp >= 37.5 & comcp < 1.5,0.5,0.4403669724770642,0.8727272727272727,0.3843202668890742,0.4363636363636363,0.010397371145893279
oldpeakcp >= 0.55 & thalcp >= 1.5 & comcp < 0.5 & thalachcp < 160.5,0.5,0.4403669724770642,0.8727272727272727,0.3843202668890742,0.4363636363636363,0.010397371145893279
thalcp >= 1.5 & thalachcp < 160.5,1.0,0.6972477064220184,0.5507246376811594,0.3839914904932855,0.5507246376811594,0.010388476454393674
thalcp >= 1.5 & thalachcp >= 110.0 & comcp < 0.5,0.5,0.5688073394495413,0.6739130434782609,0.3833266852812126,0.3369565217391304,0.010370490864964322
thalcp >= 2.5 & thalachcp >= 110.0 & comcp < 0.5,0.5,0.4311926605504587,0.8867924528301887,0.3823783970919162,0.4433962264150943,0.010344835948721697
thalcp >= 2.5 & thalachcp >= 110.0 & comcp < 1.5,0.5,0.4587155963302752,0.8333333333333334,0.3822629969418961,0.4166666666666667,0.01034171392187736
exangcp >= 0.5 & thalcp >= 1.5,0.5,0.4954128440366973,0.7714285714285715,0.3821756225425951,0.3857142857142857,0.01033935010155236
thalcp >= 2.5 & thalachcp < 160.5,0.5,0.4770642201834862,0.8,0.381651376146789,0.4,0.010325167179602355
exangcp >= 0.5 & thalachcp < 160.5,0.5,0.4770642201834862,0.8,0.381651376146789,0.4,0.010325167179602355
oldpeakcp >= 0.55 & thalcp >= 1.5 & agecp >= 37.5 & comcp < 1.5 & thalachcp < 160.5,0.5,0.4495412844036697,0.8448275862068966,0.3797848782031003,0.4224137931034483,0.010274671086797601
thalcp >= 2.5 & oldpeakcp >= 0.55 & agecp >= 37.5 & thalachcp < 160.5,0.5,0.4128440366972477,0.9183673469387756,0.3791424826811458,0.4591836734693877,0.010257291767413051
exangcp >= 0.5 & agecp >= 37.5 & comcp < 0.5 & thalachcp < 160.5,0.5,0.4128440366972477,0.9183673469387756,0.3791424826811458,0.4591836734693877,0.010257291767413051
oldpeakcp >= 0.55 & thalcp >= 1.5 & comcp < 1.5,0.5,0.5137614678899083,0.7368421052631579,0.3785610816030903,0.3684210526315789,0.010241562587054968
exangcp >= 0.5 & thalcp >= 1.5 & comcp < 0.5 & thalachcp < 160.5,0.5,0.4036697247706422,0.9361702127659576,0.3779035721257076,0.4680851063829787,0.010223774375874671
thalcp >= 2.5 & oldpeakcp >= 0.55 & thalachcp >= 110.0 & agecp >= 37.5,0.5,0.4403669724770642,0.8571428571428571,0.3774574049803407,0.4285714285714285,0.010211703804002327
exangcp >= 0.5 & oldpeakcp >= 0.55 & agecp >= 37.5,0.5,0.4403669724770642,0.8571428571428571,0.3774574049803407,0.4285714285714285,0.010211703804002327
exangcp >= 0.5 & oldpeakcp >= 0.55 & agecp >= 37.5 & comcp < 0.5,0.5,0.3944954128440367,0.9555555555555556,0.3769622833843017,0.4777777777777778,0.010198308822160659
exangcp >= 0.5 & oldpeakcp >= 0.55 & agecp >= 37.5 & comcp < 1.5,0.5,0.3944954128440367,0.9555555555555556,0.3769622833843017,0.4777777777777778,0.010198308822160659
thalcp >= 2.5 & oldpeakcp >= 0.55 & agecp >= 37.5 & comcp < 0.5,0.5,0.3761467889908257,1.0,0.3761467889908257,0.5,0.010176246499127321
agecp >= 56.5,0.75,0.6238532110091743,0.6017699115044248,0.3754160915807421,0.4513274336283186,0.010156478267205856
oldpeakcp >= 0.55 & thalcp >= 1.5 & agecp >= 37.5 & comcp < 0.5 & thalachcp < 160.5,0.5,0.4311926605504587,0.8703703703703703,0.3752973156642881,0.4351851851851852,0.010153264912634258
oldpeakcp >= 0.55 & thalcp >= 1.5 & agecp >= 37.5 & comcp < 1.5,0.5,0.5045871559633027,0.7432432432432432,0.3750309942970493,0.3716216216216216,0.010146059874706704
