rule,normalized_support,coverage,h_value,ch_value,oh_value,normalized_ch_value
thalcp >= 2.5,0.5,0.6146788990825688,0.7528089887640449,0.462735800432945,0.3764044943820224,0.03907127751940998
oldpeakcp >= 0.55,0.75,0.7522935779816514,0.5985401459854015,0.4502779079890177,0.4489051094890511,0.03801939051925085
oldpeakcp >= 0.55 & agecp >= 37.5,0.75,0.7431192660550459,0.6044776119402985,0.4491989593317814,0.4533582089552238,0.03792828906918662
agecp >= 37.5,1.0,0.981651376146789,0.4572649572649572,0.4488747745628479,0.4572649572649572,0.037900916401969784
thalcp >= 2.5 & agecp >= 37.5,0.5,0.5963302752293578,0.7471264367816092,0.4455341136771064,0.3735632183908046,0.03761884639908061
thalcp >= 2.5 & oldpeakcp >= 0.55,0.5,0.5045871559633027,0.873015873015873,0.4405125964758992,0.4365079365079365,0.03719485263859506
thalcp >= 2.5 & oldpeakcp >= 0.55 & agecp >= 37.5,0.5,0.4954128440366973,0.8709677419354839,0.4314886060964782,0.4354838709677419,0.03643290849656636
exangcp >= 0.5,0.5,0.5412844036697247,0.7763157894736842,0.4202076291646547,0.3881578947368421,0.03548039481601484
thalcp >= 2.5 & thalachcp >= 110.0,0.5,0.5596330275229358,0.7349397590361446,0.4112965623963744,0.3674698795180723,0.03472798542307027
exangcp >= 0.5 & agecp >= 37.5,0.5,0.5229357798165137,0.7702702702702703,0.4028018844532606,0.3851351351351351,0.03401073398273892
thalcp >= 1.5,1.0,0.908256880733945,0.4361233480176211,0.3961120316857293,0.4361233480176211,0.03344587365898689
thalcp >= 2.5 & thalachcp >= 110.0 & agecp >= 37.5,0.5,0.5412844036697247,0.7283950617283951,0.3942688866236267,0.3641975308641975,0.03329024698786578
thalcp >= 1.5 & agecp >= 37.5,1.0,0.8899082568807339,0.4429223744292237,0.3941602781617862,0.4429223744292237,0.03328107659009333
oldpeakcp >= 0.55 & thalcp >= 1.5,0.75,0.6697247706422018,0.584,0.3911192660550458,0.4379999999999999,0.03302430754855564
oldpeakcp >= 0.55 & thalcp >= 1.5 & agecp >= 37.5,0.75,0.6605504587155964,0.5901639344262295,0.389833057602647,0.4426229508196721,0.03291570603697071
thalcp >= 2.5 & oldpeakcp >= 0.55 & thalachcp >= 110.0,0.5,0.4495412844036697,0.8596491228070176,0.3864477708031547,0.4298245614035088,0.03262986802767467
exangcp >= 0.5 & oldpeakcp >= 0.55,0.5,0.4495412844036697,0.8596491228070176,0.3864477708031547,0.4298245614035088,0.03262986802767467
exangcp >= 0.5 & thalcp >= 1.5,0.5,0.4954128440366973,0.7714285714285715,0.3821756225425951,0.3857142857142857,0.032269147525530215
exangcp >= 0.5 & oldpeakcp >= 0.55 & agecp >= 37.5,0.5,0.4403669724770642,0.8571428571428571,0.3774574049803407,0.4285714285714285,0.03187076298817798
thalcp >= 2.5 & oldpeakcp >= 0.55 & thalachcp >= 110.0 & agecp >= 37.5,0.5,0.4403669724770642,0.8571428571428571,0.3774574049803407,0.4285714285714285,0.03187076298817798
agecp >= 56.5,0.75,0.6238532110091743,0.6017699115044248,0.3754160915807421,0.4513274336283186,0.03169840389630485
thalachcp >= 110.0,1.0,0.8807339449541285,0.4210526315789473,0.3708353452438435,0.4210526315789473,0.031311626795402926
thalachcp >= 110.0 & agecp >= 37.5,1.0,0.8623853211009175,0.4272727272727272,0.3684737281067556,0.4272727272727272,0.0311122227327144
exangcp >= 0.5 & thalcp >= 1.5 & agecp >= 37.5,0.5,0.4770642201834862,0.7647058823529411,0.3648138154344306,0.3823529411764705,0.030803196580894237
oldpeakcp >= 0.55 & thalachcp >= 110.0,0.75,0.6422018348623854,0.56,0.3596330275229358,0.42,0.03036575473595847
exangcp >= 0.5 & thalachcp >= 110.0,0.5,0.4770642201834862,0.7536231884057971,0.3595266586890041,0.3768115942028985,0.0303567734420407
oldpeakcp >= 0.55 & thalachcp >= 110.0 & agecp >= 37.5,0.75,0.6330275229357798,0.5655737704918032,0.3580237629718754,0.4241803278688524,0.030229875856870658
exangcp >= 0.5 & oldpeakcp >= 0.55 & thalcp >= 1.5,0.5,0.4128440366972477,0.8653846153846154,0.3572688779110798,0.4326923076923077,0.030166136842776643
exangcp >= 0.5 & oldpeakcp >= 0.55 & thalcp >= 1.5 & agecp >= 37.5,0.5,0.4036697247706422,0.8627450980392157,0.3482640762727109,0.4313725490196078,0.029405812909571623
thalcp >= 2.5 & exangcp >= 0.5,0.5,0.3761467889908257,0.9111111111111112,0.3427115188583078,0.4555555555555555,0.02893698056187425
