rule,normalized_support,coverage,h_value,ch_value,oh_value,normalized_coverage
thalachcp >= 110.0,1.0,0.9924812030075189,0.5789473684210527,0.5745943806885635,0.5789473684210527,0.026988345941525247
thalcp >= 1.5,1.0,0.962406015037594,0.5638766519823789,0.5426782816071015,0.5638766519823789,0.026170517276630542
agecp >= 37.5,1.0,0.9548872180451128,0.5427350427350427,0.5182507550928603,0.5427350427350427,0.025966060110406863
thalcp >= 1.5 & thalachcp >= 110.0,1.0,0.9548872180451128,0.5906976744186047,0.5640496590312992,0.5906976744186047,0.025966060110406863
thalachcp >= 110.0 & agecp >= 37.5,1.0,0.9473684210526316,0.5727272727272728,0.5425837320574163,0.5727272727272728,0.02576160294418319
thalcp >= 1.5 & agecp >= 37.5,1.0,0.9172932330827068,0.5570776255707762,0.5110035362378549,0.5570776255707762,0.024943774279288487
thalcp >= 1.5 & thalachcp >= 110.0 & agecp >= 37.5,1.0,0.9097744360902256,0.5845410628019324,0.5318005157822092,0.5845410628019324,0.024739317113064808
comcp >= 0.5,0.8333333333333334,0.7593984962406015,0.7651515151515151,0.5810549100022784,0.6376262626262627,0.020650173788591287
comcp >= 0.5 & thalachcp >= 110.0,0.8333333333333334,0.7518796992481203,0.7751937984496124,0.5828524800373026,0.6459948320413438,0.020445716622367608
comcp >= 0.5 & thalcp >= 1.5,0.8333333333333334,0.7368421052631579,0.7777777777777778,0.5730994152046783,0.6481481481481481,0.020036802289920257
comcp >= 0.5 & thalcp >= 1.5 & thalachcp >= 110.0,0.8333333333333334,0.7293233082706767,0.7886178861788617,0.5751574057093954,0.6571815718157181,0.019832345123696582
comcp >= 0.5 & agecp >= 37.5,0.8333333333333334,0.7218045112781954,0.7559055118110236,0.54561600852525,0.6299212598425197,0.019627887957472903
comcp >= 0.5 & thalachcp >= 110.0 & agecp >= 37.5,0.8333333333333334,0.7142857142857143,0.7661290322580645,0.5472350230414746,0.6384408602150538,0.01942343079124923
comcp >= 0.5 & thalcp >= 1.5 & agecp >= 37.5,0.8333333333333334,0.6992481203007519,0.768595041322314,0.5374386379171068,0.640495867768595,0.019014516458801877
comcp >= 0.5 & thalcp >= 1.5 & thalachcp >= 110.0 & agecp >= 37.5,0.8333333333333334,0.6917293233082706,0.7796610169491526,0.5393143876640755,0.6497175141242938,0.018810059292578202
cholcp >= 231.5,0.8333333333333334,0.556390977443609,0.524822695035461,0.2920066122753692,0.4373522458628842,0.015129830300552032
cholcp >= 231.5 & thalachcp >= 110.0,0.8333333333333334,0.556390977443609,0.5606060606060606,0.3119161540214171,0.4671717171717171,0.015129830300552032
trestbpscp >= 129.0,0.5,0.5488721804511278,0.5572519083969466,0.3058600700223842,0.2786259541984733,0.014925373134328356
cholcp >= 231.5 & thalachcp >= 110.0 & agecp >= 37.5,0.8333333333333334,0.5488721804511278,0.5615384615384615,0.3082128397917871,0.4679487179487179,0.014925373134328356
cholcp >= 231.5 & agecp >= 37.5,0.8333333333333334,0.5488721804511278,0.5251798561151079,0.2882566127549088,0.4376498800959232,0.014925373134328356
cholcp >= 231.5 & thalcp >= 1.5,0.8333333333333334,0.5488721804511278,0.5407407407407407,0.2967975494291284,0.4506172839506173,0.014925373134328356
cholcp >= 231.5 & thalcp >= 1.5 & thalachcp >= 110.0,0.8333333333333334,0.5488721804511278,0.5793650793650794,0.3179973743883518,0.4828042328042328,0.014925373134328356
trestbpscp >= 129.0 & thalachcp >= 110.0,0.5,0.5488721804511278,0.5934959349593496,0.3257534079100189,0.2967479674796748,0.014925373134328356
cholcp >= 231.5 & thalcp >= 1.5 & thalachcp >= 110.0 & agecp >= 37.5,0.8333333333333334,0.5413533834586466,0.5806451612903226,0.3143342226534077,0.4838709677419355,0.014720915968104679
cholcp >= 231.5 & thalcp >= 1.5 & agecp >= 37.5,0.8333333333333334,0.5413533834586466,0.5413533834586466,0.2930634857821244,0.4511278195488721,0.014720915968104679
trestbpscp >= 129.0 & thalcp >= 1.5 & thalachcp >= 110.0,0.5,0.5338345864661654,0.6068376068376068,0.3239509028982713,0.3034188034188034,0.014516458801881004
trestbpscp >= 129.0 & thalcp >= 1.5,0.5,0.5338345864661654,0.5772357723577236,0.3081484198300629,0.2886178861788618,0.014516458801881004
trestbpscp >= 129.0 & thalachcp >= 110.0 & agecp >= 37.5,0.5,0.5263157894736842,0.5833333333333334,0.3070175438596491,0.2916666666666667,0.014312001635657327
trestbpscp >= 129.0 & agecp >= 37.5,0.5,0.5263157894736842,0.546875,0.287828947368421,0.2734375,0.014312001635657327
trestbpscp >= 129.0 & thalcp >= 1.5 & agecp >= 37.5,0.5,0.5112781954887218,0.5666666666666667,0.2897243107769423,0.2833333333333333,0.013903087303209974
trestbpscp >= 129.0 & thalcp >= 1.5 & thalachcp >= 110.0 & agecp >= 37.5,0.5,0.5112781954887218,0.5964912280701754,0.3049729587125708,0.2982456140350877,0.013903087303209974
thalachcp >= 160.5,0.5,0.5037593984962406,0.7444444444444445,0.3750208855472013,0.3722222222222222,0.013698630136986299
thalachcp >= 160.5 & thalcp >= 1.5,0.5,0.4962406015037593,0.7415730337078652,0.3679986483061586,0.3707865168539326,0.01349417297076262
thalachcp >= 160.5 & agecp >= 37.5,0.5,0.4586466165413533,0.7261904761904762,0.3330648048693161,0.3630952380952381,0.01247188713964424
thalachcp >= 160.5 & thalcp >= 1.5 & agecp >= 37.5,0.5,0.4511278195488721,0.7228915662650602,0.3261164960594256,0.3614457831325301,0.012267429973420564
trestbpscp >= 129.0 & comcp >= 0.5 & thalachcp >= 110.0,0.5,0.4210526315789473,0.7671232876712328,0.3229992790194664,0.3835616438356164,0.01144960130852586
trestbpscp >= 129.0 & comcp >= 0.5,0.5,0.4210526315789473,0.7567567567567568,0.3186344238975818,0.3783783783783784,0.01144960130852586
cholcp >= 231.5 & comcp >= 0.5,0.6666666666666666,0.4210526315789473,0.7466666666666667,0.3143859649122807,0.4977777777777777,0.01144960130852586
cholcp >= 231.5 & comcp >= 0.5 & thalachcp >= 110.0,0.6666666666666666,0.4210526315789473,0.7671232876712328,0.3229992790194664,0.5114155251141552,0.01144960130852586
cholcp >= 231.5 & comcp >= 0.5 & thalcp >= 1.5 & thalachcp >= 110.0,0.6666666666666666,0.4135338345864661,0.7857142857142857,0.3249194414607948,0.5238095238095237,0.011245144142302184
cholcp >= 231.5 & comcp >= 0.5 & thalcp >= 1.5,0.6666666666666666,0.4135338345864661,0.7638888888888888,0.3158939014202171,0.5092592592592592,0.011245144142302184
