rule,normalized_support,coverage,h_value,ch_value,oh_value,normalized_h_value
thalcp >= 2.5 & oldpeakcp >= 0.55,0.5045871559633027,0.5045871559633027,0.873015873015873,0.4405125964758992,0.4405125964758992,0.01314256204907644
oldpeakcp >= 0.55 & comcp < 0.5 & thalachcp < 160.5,0.5045871559633027,0.5045871559633027,0.859375,0.4336295871559633,0.4336295871559633,0.012937209517059622
cacp >= 0.5 & agecp >= 37.5 & comcp < 1.5,0.5412844036697247,0.5412844036697247,0.855072463768116,0.4628373886451269,0.4628373886451269,0.012872438244115186
cacp >= 0.5 & comcp < 1.5,0.5412844036697247,0.5412844036697247,0.855072463768116,0.4628373886451269,0.4628373886451269,0.012872438244115186
cacp >= 0.5 & oldpeakcp >= 0.55 & agecp >= 37.5,0.5045871559633027,0.5045871559633027,0.8461538461538461,0.4269583627381792,0.4269583627381792,0.012738175524489474
cacp >= 0.5 & oldpeakcp >= 0.55,0.5045871559633027,0.5045871559633027,0.8461538461538461,0.4269583627381792,0.4269583627381792,0.012738175524489474
thalcp >= 2.5 & comcp < 1.5,0.5045871559633027,0.5045871559633027,0.8461538461538461,0.4269583627381792,0.4269583627381792,0.012738175524489474
oldpeakcp >= 0.55 & thalachcp < 160.5 & comcp < 1.5,0.5229357798165137,0.5229357798165137,0.8382352941176471,0.4383432271991365,0.4383432271991365,0.012618967999527674
oldpeakcp >= 0.55 & agecp >= 37.5 & thalachcp < 160.5 & comcp < 1.5,0.5137614678899083,0.5137614678899083,0.835820895522388,0.4294125701766397,0.4294125701766397,0.01258262114223655
oldpeakcp >= 0.55 & agecp >= 37.5 & comcp < 0.5,0.5412844036697247,0.5412844036697247,0.8309859154929577,0.4497997157255459,0.4497997157255459,0.01250983434991476
cacp >= 0.5 & sexcp >= 0.5 & agecp >= 37.5,0.5596330275229358,0.5596330275229358,0.8243243243243243,0.46131911728242,0.46131911728242,0.012409549374594783
cacp >= 0.5 & sexcp >= 0.5,0.5596330275229358,0.5596330275229358,0.8243243243243243,0.46131911728242,0.46131911728242,0.012409549374594783
oldpeakcp >= 0.55 & comcp < 0.5,0.5504587155963303,0.5504587155963303,0.821917808219178,0.4524318210380796,0.4524318210380796,0.012373321181944943
oldpeakcp >= 0.55 & sexcp >= 0.5 & thalachcp < 160.5,0.5321100917431193,0.5321100917431193,0.7945205479452054,0.4227724016589166,0.4227724016589166,0.011960877142546778
sexcp >= 0.5 & comcp < 0.5,0.5596330275229358,0.5596330275229358,0.7922077922077922,0.4433456451805075,0.4433456451805075,0.01192606043792226
oldpeakcp >= 0.55 & sexcp >= 0.5 & agecp >= 37.5 & thalachcp < 160.5,0.5229357798165137,0.5229357798165137,0.7916666666666666,0.4139908256880733,0.4139908256880733,0.011917914221776136
sexcp >= 0.5 & agecp >= 37.5 & comcp < 0.5,0.5412844036697247,0.5412844036697247,0.7866666666666666,0.4258103975535168,0.4258103975535168,0.011842643184585971
sexcp >= 0.5 & comcp < 0.5 & fbscp < 0.5,0.5045871559633027,0.5045871559633027,0.7857142857142857,0.3964613368283092,0.3964613368283092,0.011828305844168796
sexcp >= 0.5 & thalachcp < 160.5 & comcp < 1.5,0.5045871559633027,0.5045871559633027,0.7857142857142857,0.3964613368283092,0.3964613368283092,0.011828305844168796
thalcp >= 2.5 & fbscp < 0.5,0.5504587155963303,0.5504587155963303,0.7792207792207793,0.4289288692958418,0.4289288692958418,0.011730551250415337
exangcp >= 0.5,0.5412844036697247,0.5412844036697247,0.7763157894736842,0.4202076291646547,0.4202076291646547,0.011686818932157209
thalcp >= 2.5 & agecp >= 37.5 & fbscp < 0.5,0.5321100917431193,0.5321100917431193,0.7733333333333333,0.4114984709480122,0.4114984709480122,0.011641920418745531
exangcp >= 0.5 & agecp >= 37.5,0.5229357798165137,0.5229357798165137,0.7702702702702703,0.4028018844532606,0.4028018844532606,0.011595808431998403
comcp < 0.5 & thalachcp < 160.5,0.5963302752293578,0.5963302752293578,0.7647058823529411,0.4560172692930382,0.4560172692930382,0.011512040982025245
thalcp >= 1.5 & comcp < 0.5 & thalachcp < 160.5,0.5321100917431193,0.5321100917431193,0.7631578947368421,0.4060840173829068,0.4060840173829068,0.011488737255340985
agecp >= 37.5 & comcp < 0.5 & thalachcp < 160.5,0.5779816513761468,0.5779816513761468,0.7590361445783133,0.4387089642975572,0.4387089642975572,0.011426687573446746
thalcp >= 1.5 & agecp >= 37.5 & comcp < 0.5 & thalachcp < 160.5,0.5137614678899083,0.5137614678899083,0.7567567567567568,0.3887924621869576,0.3887924621869576,0.011392373196349309
oldpeakcp >= 0.55 & sexcp >= 0.5 & agecp >= 37.5 & fbscp < 0.5,0.5321100917431193,0.5321100917431193,0.7532467532467533,0.4008101989753366,0.4008101989753366,0.011339532875401492
comcp < 0.5 & thalachcp < 160.5 & fbscp < 0.5,0.5321100917431193,0.5321100917431193,0.7532467532467533,0.4008101989753366,0.4008101989753366,0.011339532875401492
