rule,normalized_support,coverage,h_value,ch_value,oh_value,normalized_coverage
agecp >= 37.5,1.0,0.981651376146789,0.4572649572649572,0.4488747745628479,0.4572649572649572,0.029171210468920388
thalcp >= 1.5,1.0,0.908256880733945,0.4361233480176211,0.3961120316857293,0.4361233480176211,0.026990185387131948
thalcp >= 1.5 & agecp >= 37.5,1.0,0.8899082568807339,0.4429223744292237,0.3941602781617862,0.4429223744292237,0.026444929116684838
thalachcp >= 110.0,1.0,0.8807339449541285,0.4210526315789473,0.3708353452438435,0.4210526315789473,0.026172300981461283
thalachcp >= 110.0 & agecp >= 37.5,1.0,0.8623853211009175,0.4272727272727272,0.3684737281067556,0.4272727272727272,0.025627044711014173
thalcp >= 1.5 & thalachcp >= 110.0,1.0,0.8073394495412844,0.4093023255813953,0.3304459142308513,0.4093023255813953,0.023991275899672843
thalcp >= 1.5 & thalachcp >= 110.0 & agecp >= 37.5,1.0,0.7889908256880734,0.4154589371980676,0.3277932898993928,0.4154589371980676,0.023446019629225733
oldpeakcp >= 0.55,0.75,0.7522935779816514,0.5985401459854015,0.4502779079890177,0.4489051094890511,0.022355507088331512
oldpeakcp >= 0.55 & agecp >= 37.5,0.75,0.7431192660550459,0.6044776119402985,0.4491989593317814,0.4533582089552238,0.022082878953107957
oldpeakcp >= 0.55 & thalcp >= 1.5,0.75,0.6697247706422018,0.584,0.3911192660550458,0.4379999999999999,0.019901853871319517
oldpeakcp >= 0.55 & thalcp >= 1.5 & agecp >= 37.5,0.75,0.6605504587155964,0.5901639344262295,0.389833057602647,0.4426229508196721,0.019629225736095962
oldpeakcp >= 0.55 & thalachcp >= 110.0,0.75,0.6422018348623854,0.56,0.3596330275229358,0.42,0.019083969465648852
oldpeakcp >= 0.55 & thalachcp >= 110.0 & agecp >= 37.5,0.75,0.6330275229357798,0.5655737704918032,0.3580237629718754,0.4241803278688524,0.018811341330425297
agecp >= 56.5,0.75,0.6238532110091743,0.6017699115044248,0.3754160915807421,0.4513274336283186,0.018538713195201742
thalcp >= 2.5,0.5,0.6146788990825688,0.7528089887640449,0.462735800432945,0.3764044943820224,0.018266085059978187
cholcp >= 231.5,0.5,0.6146788990825688,0.475177304964539,0.2920814626846248,0.2375886524822695,0.018266085059978187
cholcp >= 231.5 & agecp >= 37.5,0.5,0.6055045871559633,0.4748201438848921,0.2875057751963566,0.237410071942446,0.017993456924754632
thalcp >= 2.5 & agecp >= 37.5,0.5,0.5963302752293578,0.7471264367816092,0.4455341136771064,0.3735632183908046,0.017720828789531077
oldpeakcp >= 0.55 & thalcp >= 1.5 & thalachcp >= 110.0,0.75,0.5779816513761468,0.5478260869565217,0.3166334264060629,0.4108695652173912,0.017175572519083967
cholcp >= 231.5 & thalcp >= 1.5,0.5,0.5688073394495413,0.4592592592592592,0.2612300373768264,0.2296296296296296,0.016902944383860412
oldpeakcp >= 0.55 & thalcp >= 1.5 & thalachcp >= 110.0 & agecp >= 37.5,0.75,0.5688073394495413,0.5535714285714286,0.3148754914809961,0.4151785714285714,0.016902944383860412
agecp >= 56.5 & thalcp >= 1.5,0.75,0.5688073394495413,0.5961538461538461,0.3390966831333803,0.4471153846153846,0.016902944383860412
cholcp >= 231.5 & thalcp >= 1.5 & agecp >= 37.5,0.5,0.5596330275229358,0.4586466165413533,0.2566737945781885,0.2293233082706766,0.016630316248636857
thalcp >= 2.5 & thalachcp >= 110.0,0.5,0.5596330275229358,0.7349397590361446,0.4112965623963744,0.3674698795180723,0.016630316248636857
agecp >= 56.5 & thalachcp >= 110.0,0.75,0.5412844036697247,0.5728155339805825,0.3100561147234345,0.4296116504854368,0.016085059978189747
thalcp >= 2.5 & thalachcp >= 110.0 & agecp >= 37.5,0.5,0.5412844036697247,0.7283950617283951,0.3942688866236267,0.3641975308641975,0.016085059978189747
exangcp >= 0.5,0.5,0.5412844036697247,0.7763157894736842,0.4202076291646547,0.3881578947368421,0.016085059978189747
trestbpscp >= 129.0,0.75,0.5321100917431193,0.4427480916030534,0.2355907276419917,0.3320610687022901,0.01581243184296619
cholcp >= 231.5 & thalachcp >= 110.0,0.5,0.5321100917431193,0.4393939393939394,0.2338059494022797,0.2196969696969697,0.01581243184296619
trestbpscp >= 129.0 & agecp >= 37.5,0.75,0.5321100917431193,0.453125,0.2411123853211009,0.33984375,0.01581243184296619
