rule,normalized_support,coverage,h_value,ch_value,oh_value
sexcp >= 0.5 & thalcp >= 1.5 & thalachcp >= 110.0 & agecp >= 37.5,1.0,0.6238532110091743,0.5230769230769231,0.32632321806633735,0.5230769230769231
agecp >= 56.5 & sexcp >= 0.5,0.75,0.47706422018348627,0.7428571428571429,0.3543905635648755,0.5571428571428572
agecp >= 56.5 & sexcp >= 0.5 & thalcp >= 1.5 & thalachcp >= 110.0,0.75,0.3669724770642202,0.7272727272727273,0.2668890742285238,0.5454545454545454
oldpeakcp >= 0.55 & thalcp >= 1.5 & thalachcp >= 110.0 & agecp >= 37.5,0.75,0.5688073394495413,0.5535714285714286,0.3148754914809961,0.41517857142857145
oldpeakcp >= 0.55 & thalcp >= 1.5 & thalachcp >= 110.0,0.75,0.5779816513761468,0.5478260869565217,0.31663342640606296,0.41086956521739126
oldpeakcp >= 0.55 & thalcp >= 1.5 & agecp >= 37.5,0.75,0.6605504587155964,0.5901639344262295,0.389833057602647,0.4426229508196721
oldpeakcp >= 0.55 & thalcp >= 1.5,0.75,0.6697247706422018,0.584,0.3911192660550458,0.43799999999999994
oldpeakcp >= 0.55 & thalachcp >= 110.0 & agecp >= 37.5,0.75,0.6330275229357798,0.5655737704918032,0.35802376297187544,0.4241803278688524
oldpeakcp >= 0.55 & thalachcp >= 110.0,0.75,0.6422018348623854,0.56,0.35963302752293586,0.42000000000000004
oldpeakcp >= 0.55 & agecp >= 37.5,0.75,0.7431192660550459,0.6044776119402985,0.44919895933178144,0.45335820895522383
oldpeakcp >= 0.55,0.75,0.7522935779816514,0.5985401459854015,0.4502779079890177,0.44890510948905116
agecp >= 56.5 & sexcp >= 0.5 & thalcp >= 1.5,0.75,0.42201834862385323,0.7540983606557377,0.3182433448638893,0.5655737704918032
oldpeakcp >= 0.55 & sexcp >= 0.5 & agecp >= 37.5,0.75,0.6146788990825688,0.7282608695652174,0.44764658954926206,0.5461956521739131
agecp >= 56.5 & sexcp >= 0.5 & thalachcp >= 110.0,0.75,0.41284403669724773,0.7142857142857143,0.29488859764089126,0.5357142857142857
agecp >= 56.5 & thalcp >= 1.5 & thalachcp >= 110.0,0.75,0.4954128440366973,0.5684210526315789,0.2816030902945437,0.4263157894736842
agecp >= 56.5 & thalcp >= 1.5,0.75,0.5688073394495413,0.5961538461538461,0.33909668313338037,0.4471153846153846
agecp >= 56.5 & thalachcp >= 110.0,0.75,0.5412844036697247,0.5728155339805825,0.31005611472343453,0.42961165048543687
oldpeakcp >= 0.55 & sexcp >= 0.5,0.75,0.6238532110091743,0.723404255319149,0.4512980675385517,0.5425531914893618
oldpeakcp >= 0.55 & sexcp >= 0.5 & thalachcp >= 110.0,0.75,0.5321100917431193,0.6904761904761905,0.3674093490607252,0.5178571428571428
agecp >= 56.5,0.75,0.6238532110091743,0.6017699115044248,0.37541609158074213,0.4513274336283186
trestbpscp >= 129.0 & thalcp >= 1.5 & thalachcp >= 110.0,0.75,0.42201834862385323,0.39316239316239315,0.16592174390339529,0.2948717948717949
trestbpscp >= 129.0 & sexcp >= 0.5 & thalcp >= 1.5 & thalachcp >= 110.0 & agecp >= 37.5,0.75,0.28440366972477066,0.484375,0.13775802752293578,0.36328125
trestbpscp >= 129.0 & sexcp >= 0.5 & thalcp >= 1.5 & thalachcp >= 110.0,0.75,0.28440366972477066,0.4696969696969697,0.1335835418404226,0.3522727272727273
trestbpscp >= 129.0 & sexcp >= 0.5 & thalcp >= 1.5 & agecp >= 37.5,0.75,0.3211009174311927,0.5147058823529411,0.16527253103076092,0.38602941176470584
trestbpscp >= 129.0 & sexcp >= 0.5 & thalcp >= 1.5,0.75,0.3211009174311927,0.5,0.16055045871559634,0.375
trestbpscp >= 129.0 & sexcp >= 0.5 & thalachcp >= 110.0 & agecp >= 37.5,0.75,0.3211009174311927,0.5,0.16055045871559634,0.375
trestbpscp >= 129.0 & sexcp >= 0.5 & thalachcp >= 110.0,0.75,0.3211009174311927,0.4861111111111111,0.15609072375127422,0.3645833333333333
trestbpscp >= 129.0 & sexcp >= 0.5 & agecp >= 37.5,0.75,0.3761467889908257,0.5394736842105263,0.2029212940608402,0.40460526315789475
trestbpscp >= 129.0 & sexcp >= 0.5,0.75,0.3761467889908257,0.5256410256410257,0.1977181839567161,0.3942307692307693
trestbpscp >= 129.0 & thalcp >= 1.5 & thalachcp >= 110.0 & agecp >= 37.5,0.75,0.42201834862385323,0.40350877192982454,0.17028810558506358,0.3026315789473684
trestbpscp >= 129.0 & thalcp >= 1.5 & agecp >= 37.5,0.75,0.47706422018348627,0.43333333333333335,0.2067278287461774,0.325
oldpeakcp >= 0.55 & sexcp >= 0.5 & thalachcp >= 110.0 & agecp >= 37.5,0.75,0.5229357798165137,0.6951219512195121,0.3635041396285522,0.521341463414634
trestbpscp >= 129.0 & thalcp >= 1.5,0.75,0.47706422018348627,0.42276422764227645,0.2016856865816365,0.3170731707317073
trestbpscp >= 129.0 & thalachcp >= 110.0 & agecp >= 37.5,0.75,0.45871559633027525,0.4166666666666667,0.19113149847094804,0.3125
trestbpscp >= 129.0 & thalachcp >= 110.0,0.75,0.45871559633027525,0.4065040650406504,0.18646975460580295,0.3048780487804878
trestbpscp >= 129.0 & agecp >= 37.5,0.75,0.5321100917431193,0.453125,0.24111238532110094,0.33984375
trestbpscp >= 129.0,0.75,0.5321100917431193,0.44274809160305345,0.23559072764199177,0.3320610687022901
oldpeakcp >= 0.55 & sexcp >= 0.5 & thalcp >= 1.5 & thalachcp >= 110.0 & agecp >= 37.5,0.75,0.45871559633027525,0.6944444444444444,0.31855249745158004,0.5208333333333333
oldpeakcp >= 0.55 & sexcp >= 0.5 & thalcp >= 1.5 & thalachcp >= 110.0,0.75,0.46788990825688076,0.6891891891891891,0.32246466650136374,0.5168918918918919
oldpeakcp >= 0.55 & sexcp >= 0.5 & thalcp >= 1.5 & agecp >= 37.5,0.75,0.5321100917431193,0.725,0.3857798165137615,0.54375
oldpeakcp >= 0.55 & sexcp >= 0.5 & thalcp >= 1.5,0.75,0.5412844036697247,0.7195121951219512,0.38946072946967997,0.5396341463414633
exangcp >= 0.5 & sexcp >= 0.5 & thalcp >= 1.5 & thalachcp >= 110.0,0.5,0.3394495412844037,0.8043478260869565,0.2730355005983247,0.40217391304347827
comcp >= 1.5 & trestbpscp >= 129.0 & thalcp >= 1.5 & thalachcp >= 110.0 & agecp >= 37.5,0.5,0.10091743119266056,0.22448979591836735,0.022654933533046248,0.11224489795918367
comcp >= 1.5 & sexcp >= 0.5 & agecp >= 37.5,0.5,0.1926605504587156,0.3888888888888889,0.07492354740061162,0.19444444444444445
comcp >= 1.5 & sexcp >= 0.5,0.5,0.1926605504587156,0.375,0.07224770642201836,0.1875
comcp >= 1.5 & trestbpscp >= 129.0 & sexcp >= 0.5 & thalcp >= 1.5 & thalachcp >= 110.0 & agecp >= 37.5,0.5,0.10091743119266056,0.36666666666666664,0.037003058103975535,0.18333333333333332
comcp >= 1.5 & trestbpscp >= 129.0 & sexcp >= 0.5 & thalcp >= 1.5 & thalachcp >= 110.0,0.5,0.10091743119266056,0.3548387096774194,0.035809411068363425,0.1774193548387097
comcp >= 1.5 & trestbpscp >= 129.0 & sexcp >= 0.5 & thalcp >= 1.5 & agecp >= 37.5,0.5,0.10091743119266056,0.36666666666666664,0.037003058103975535,0.18333333333333332
comcp >= 1.5 & trestbpscp >= 129.0 & sexcp >= 0.5 & thalcp >= 1.5,0.5,0.10091743119266056,0.3548387096774194,0.035809411068363425,0.1774193548387097
comcp >= 1.5 & trestbpscp >= 129.0 & sexcp >= 0.5 & thalachcp >= 110.0 & agecp >= 37.5,0.5,0.11009174311926606,0.375,0.04128440366972477,0.1875
comcp >= 1.5 & trestbpscp >= 129.0 & sexcp >= 0.5 & thalachcp >= 110.0,0.5,0.11009174311926606,0.36363636363636365,0.04003336113427857,0.18181818181818182
comcp >= 1.5 & trestbpscp >= 129.0 & sexcp >= 0.5 & agecp >= 37.5,0.5,0.11009174311926606,0.375,0.04128440366972477,0.1875
comcp >= 1.5 & trestbpscp >= 129.0 & sexcp >= 0.5,0.5,0.11009174311926606,0.36363636363636365,0.04003336113427857,0.18181818181818182
comcp >= 1.5 & trestbpscp >= 129.0 & thalcp >= 1.5 & thalachcp >= 110.0,0.5,0.10091743119266056,0.22,0.022201834862385323,0.11
exangcp >= 0.5 & sexcp >= 0.5 & thalcp >= 1.5 & thalachcp >= 110.0 & agecp >= 37.5,0.5,0.3211009174311927,0.7954545454545454,0.2554211843202669,0.3977272727272727
comcp >= 1.5 & trestbpscp >= 129.0 & thalcp >= 1.5 & agecp >= 37.5,0.5,0.11009174311926606,0.24,0.026422018348623854,0.12
comcp >= 1.5 & trestbpscp >= 129.0 & thalcp >= 1.5,0.5,0.11009174311926606,0.23529411764705882,0.025903939557474366,0.11764705882352941
comcp >= 1.5 & trestbpscp >= 129.0 & thalachcp >= 110.0 & agecp >= 37.5,0.5,0.11009174311926606,0.23529411764705882,0.025903939557474366,0.11764705882352941
comcp >= 1.5 & trestbpscp >= 129.0 & thalachcp >= 110.0,0.5,0.11009174311926606,0.23076923076923078,0.025405786873676783,0.11538461538461539
comcp >= 1.5 & trestbpscp >= 129.0 & agecp >= 37.5,0.5,0.11926605504587157,0.25,0.02981651376146789,0.125
comcp >= 1.5 & trestbpscp >= 129.0,0.5,0.11926605504587157,0.24528301886792453,0.029253938030119442,0.12264150943396226
comcp >= 1.5 & thalcp >= 1.5 & thalachcp >= 110.0 & agecp >= 37.5,0.5,0.1743119266055046,0.2345679012345679,0.04088798278400725,0.11728395061728394
comcp >= 1.5 & thalcp >= 1.5 & thalachcp >= 110.0,0.5,0.1743119266055046,0.2261904761904762,0.03942769768457842,0.1130952380952381
comcp >= 1.5 & thalcp >= 1.5 & agecp >= 37.5,0.5,0.1834862385321101,0.24096385542168675,0.04421355145352051,0.12048192771084337
comcp >= 1.5 & thalcp >= 1.5,0.5,0.1834862385321101,0.23255813953488372,0.04267121826328142,0.11627906976744186
comcp >= 1.5 & sexcp >= 0.5 & thalachcp >= 110.0,0.5,0.1926605504587156,0.375,0.07224770642201836,0.1875
comcp >= 1.5 & sexcp >= 0.5 & thalachcp >= 110.0 & agecp >= 37.5,0.5,0.1926605504587156,0.3888888888888889,0.07492354740061162,0.19444444444444445
comcp >= 1.5 & sexcp >= 0.5 & thalcp >= 1.5,0.5,0.1743119266055046,0.36538461538461536,0.0636908962597036,0.18269230769230768
comcp >= 1.5 & sexcp >= 0.5 & thalcp >= 1.5 & agecp >= 37.5,0.5,0.1743119266055046,0.38,0.06623853211009174,0.19
cholcp >= 231.5 & agecp >= 56.5 & sexcp >= 0.5 & thalachcp >= 110.0,0.5,0.24770642201834864,0.75,0.18577981651376146,0.375
cholcp >= 231.5 & agecp >= 56.5 & sexcp >= 0.5,0.5,0.29357798165137616,0.7804878048780488,0.22913403445961067,0.3902439024390244
cholcp >= 231.5 & agecp >= 56.5 & thalcp >= 1.5 & thalachcp >= 110.0,0.5,0.3211009174311927,0.5645161290322581,0.18126664693696362,0.28225806451612906
cholcp >= 231.5 & agecp >= 56.5 & thalcp >= 1.5,0.5,0.3853211009174312,0.6086956521739131,0.23454327881930598,0.30434782608695654
cholcp >= 231.5 & agecp >= 56.5 & thalachcp >= 110.0,0.5,0.3486238532110092,0.5757575757575758,0.2007228245760356,0.2878787878787879
cholcp >= 231.5 & agecp >= 56.5,0.5,0.41284403669724773,0.6164383561643836,0.25449289933391983,0.3082191780821918
cholcp >= 231.5 & thalcp >= 1.5 & thalachcp >= 110.0 & agecp >= 37.5,0.5,0.47706422018348627,0.41935483870967744,0.20005918910920392,0.20967741935483872
cholcp >= 231.5 & thalcp >= 1.5 & thalachcp >= 110.0,0.5,0.48623853211009177,0.42063492063492064,0.20452890636376878,0.21031746031746032
cholcp >= 231.5 & thalcp >= 1.5 & agecp >= 37.5,0.5,0.5596330275229358,0.45864661654135336,0.25667379457818856,0.22932330827067668
