rule,normalized_support,coverage,h_value,ch_value,oh_value,normalized_coverage
thalachcp >= 110.0,1.0,0.9924812030075189,0.5789473684210527,0.5745943806885635,0.5789473684210527,0.015350622165368066
oldpeakcp < 2.3499999999999996,1.0,0.9924812030075189,0.6255924170616114,0.6208887146776895,0.6255924170616114,0.015350622165368066
thalachcp >= 110.0 & oldpeakcp < 2.3499999999999996,1.0,0.9849624060150376,0.6616161616161617,0.6516670464038885,0.6616161616161617,0.015234329573206187
thalcp >= 1.5,1.0,0.962406015037594,0.5638766519823789,0.5426782816071015,0.5638766519823789,0.01488545179672055
thalcp >= 1.5 & thalachcp >= 110.0,1.0,0.9548872180451128,0.5906976744186047,0.5640496590312992,0.5906976744186047,0.014769159204558669
agecp >= 37.5 & oldpeakcp < 2.3499999999999996,1.0,0.9548872180451128,0.6225490196078431,0.5944641014300457,0.6225490196078431,0.014769159204558669
agecp >= 37.5,1.0,0.9548872180451128,0.5427350427350427,0.5182507550928603,0.5427350427350427,0.014769159204558669
thalcp >= 1.5 & oldpeakcp < 2.3499999999999996,1.0,0.9548872180451128,0.6414141414141414,0.6124781651097441,0.6414141414141414,0.014769159204558669
thalachcp >= 110.0 & agecp >= 37.5,1.0,0.9473684210526316,0.5727272727272728,0.5425837320574163,0.5727272727272728,0.01465286661239679
thalachcp >= 110.0 & agecp >= 37.5 & oldpeakcp < 2.3499999999999996,1.0,0.9473684210526316,0.6596858638743456,0.62496555524938,0.6596858638743456,0.01465286661239679
thalcp >= 1.5 & thalachcp >= 110.0 & oldpeakcp < 2.3499999999999996,1.0,0.9473684210526316,0.6737967914438503,0.6383338024204898,0.6737967914438503,0.01465286661239679
thalcp >= 1.5 & agecp >= 37.5 & oldpeakcp < 2.3499999999999996,1.0,0.9172932330827068,0.6387434554973822,0.5859150494036137,0.6387434554973822,0.014187696243749274
thalcp >= 1.5 & agecp >= 37.5,1.0,0.9172932330827068,0.5570776255707762,0.5110035362378549,0.5570776255707762,0.014187696243749274
thalcp >= 1.5 & thalachcp >= 110.0 & agecp >= 37.5,1.0,0.9097744360902256,0.5845410628019324,0.5318005157822092,0.5845410628019324,0.014071403651587393
thalcp >= 1.5 & thalachcp >= 110.0 & agecp >= 37.5 & oldpeakcp < 2.3499999999999996,1.0,0.9097744360902256,0.6722222222222223,0.6115705931495405,0.6722222222222223,0.014071403651587393
exangcp < 0.5,0.8333333333333334,0.8721804511278195,0.6987951807228916,0.6094754959688378,0.5823293172690763,0.013489940690777996
thalachcp >= 110.0 & exangcp < 0.5,0.8333333333333334,0.8646616541353384,0.7232704402515723,0.6253842152551189,0.6027253668763103,0.013373648098616117
exangcp < 0.5 & oldpeakcp < 2.3499999999999996,0.8333333333333334,0.8646616541353384,0.7467532467532467,0.6456888975685968,0.6222943722943723,0.013373648098616117
thalachcp >= 110.0 & exangcp < 0.5 & oldpeakcp < 2.3499999999999996,0.8333333333333334,0.8571428571428571,0.7702702702702703,0.6602316602316602,0.6418918918918919,0.013257355506454238
thalcp >= 1.5 & exangcp < 0.5,0.8333333333333334,0.8421052631578947,0.7133757961783439,0.600737512571237,0.5944798301486199,0.013024770322130478
thalcp >= 1.5 & exangcp < 0.5 & oldpeakcp < 2.3499999999999996,0.8333333333333334,0.8345864661654135,0.7602739726027398,0.634514368112061,0.6335616438356165,0.012908477729968601
thalcp < 2.5,1.0,0.8345864661654135,0.7254901960784313,0.605484298982751,0.7254901960784313,0.012908477729968601
thalcp >= 1.5 & thalachcp >= 110.0 & exangcp < 0.5,0.8333333333333334,0.8345864661654135,0.7350993377483444,0.6135039585719265,0.6125827814569537,0.012908477729968601
agecp >= 37.5 & exangcp < 0.5,0.8333333333333334,0.8270676691729323,0.6875,0.5686090225563909,0.5729166666666667,0.01279218513780672
thalcp >= 1.5 & thalachcp >= 110.0 & exangcp < 0.5 & oldpeakcp < 2.3499999999999996,0.8333333333333334,0.8270676691729323,0.7801418439716312,0.6452300965178904,0.6501182033096927,0.01279218513780672
thalachcp >= 110.0 & thalcp < 2.5,1.0,0.8270676691729323,0.7586206896551724,0.6274306455794658,0.7586206896551724,0.01279218513780672
oldpeakcp < 2.3499999999999996 & thalcp < 2.5,1.0,0.8270676691729323,0.7638888888888888,0.6317878028404343,0.7638888888888888,0.01279218513780672
agecp >= 37.5 & exangcp < 0.5 & oldpeakcp < 2.3499999999999996,0.8333333333333334,0.8270676691729323,0.738255033557047,0.6105868698592118,0.6152125279642059,0.01279218513780672
thalachcp >= 110.0 & oldpeakcp < 2.3499999999999996 & thalcp < 2.5,1.0,0.8195488721804511,0.7956204379562044,0.6520498326107239,0.7956204379562044,0.012675892545644843
thalachcp >= 110.0 & agecp >= 37.5 & exangcp < 0.5 & oldpeakcp < 2.3499999999999996,0.8333333333333334,0.8195488721804511,0.7622377622377622,0.6246910983753089,0.6351981351981352,0.012675892545644843
thalachcp >= 110.0 & agecp >= 37.5 & exangcp < 0.5,0.8333333333333334,0.8195488721804511,0.7124183006535948,0.5838616148213671,0.593681917211329,0.012675892545644843
cacp < 0.5,0.5,0.8045112781954887,0.7430555555555556,0.597796574770259,0.3715277777777778,0.012443307361321083
cacp < 0.5 & oldpeakcp < 2.3499999999999996,0.5,0.7969924812030075,0.803030303030303,0.6400091136933241,0.4015151515151515,0.012327014769159204
thalcp >= 1.5 & agecp >= 37.5 & exangcp < 0.5 & oldpeakcp < 2.3499999999999996,0.8333333333333334,0.7969924812030075,0.75177304964539,0.5991574681384312,0.6264775413711584,0.012327014769159204
thalachcp >= 110.0 & cacp < 0.5,0.5,0.7969924812030075,0.7412587412587412,0.5907776434092223,0.3706293706293706,0.012327014769159204
