rule,normalized_support,coverage,h_value,ch_value,oh_value,normalized_oh_value
sexcp >= 0.5 & thalachcp < 160.5,1.0,0.6422018348623854,0.693069306930693,0.4450903805976928,0.693069306930693,0.01275834170684081
sexcp >= 0.5 & agecp >= 37.5 & thalachcp < 160.5,1.0,0.6238532110091743,0.6868686868686869,0.4285052358446854,0.6868686868686869,0.012644197812782493
sexcp >= 0.5 & thalcp >= 1.5 & thalachcp < 160.5,1.0,0.5504587155963303,0.6818181818181818,0.3753127606338615,0.6818181818181818,0.012551225770041446
sexcp >= 0.5 & thalcp >= 1.5 & agecp >= 37.5 & thalachcp < 160.5,1.0,0.5321100917431193,0.6744186046511628,0.3588649455941967,0.6744186046511628,0.012415010916723167
sexcp >= 0.5 & thalachcp >= 110.0 & thalachcp < 160.5,1.0,0.5412844036697247,0.6555555555555556,0.354841997961264,0.6555555555555556,0.012067771147787999
sexcp >= 0.5 & thalachcp >= 110.0 & agecp >= 37.5 & thalachcp < 160.5,1.0,0.5229357798165137,0.6477272727272727,0.33871976647206,0.6477272727272727,0.011923664481539375
sexcp >= 0.5 & thalcp >= 1.5 & thalachcp >= 110.0 & thalachcp < 160.5,1.0,0.4678899082568807,0.6455696202531646,0.3020555103936825,0.6455696202531646,0.011883945412646838
sexcp >= 0.5 & thalcp >= 1.5 & thalachcp >= 110.0 & agecp >= 37.5 & thalachcp < 160.5,1.0,0.4495412844036697,0.6363636363636364,0.2860717264386989,0.6363636363636364,0.011714477385372016
oldpeakcp >= 0.55 & sexcp >= 0.5 & thalcp >= 1.5 & thalachcp < 160.5,0.75,0.4495412844036697,0.8032786885245902,0.3611069333734396,0.6024590163934427,0.011090345393528427
oldpeakcp >= 0.55 & sexcp >= 0.5 & thalcp >= 1.5 & agecp >= 37.5 & thalachcp < 160.5,0.75,0.4403669724770642,0.8,0.3522935779816514,0.6000000000000001,0.011045078677636475
oldpeakcp >= 0.55 & sexcp >= 0.5 & thalachcp < 160.5,0.75,0.5321100917431193,0.7945205479452054,0.4227724016589166,0.595890410958904,0.010969427453817045
oldpeakcp >= 0.55 & sexcp >= 0.5 & agecp >= 37.5 & thalachcp < 160.5,0.75,0.5229357798165137,0.7916666666666666,0.4139908256880733,0.59375,0.010930025774744426
oldpeakcp >= 0.55 & sexcp >= 0.5 & thalcp >= 1.5 & thalachcp >= 110.0 & thalachcp < 160.5,0.75,0.3761467889908257,0.7735849056603774,0.2909814782759218,0.5801886792452831,0.01068038268356357
oldpeakcp >= 0.55 & sexcp >= 0.5 & thalcp >= 1.5 & thalachcp >= 110.0 & agecp >= 37.5 & thalachcp < 160.5,0.75,0.3669724770642202,0.7692307692307693,0.2822865208186309,0.576923076923077,0.010620267959265841
agecp >= 56.5 & sexcp >= 0.5 & thalcp >= 1.5 & thalachcp < 160.5,0.75,0.3302752293577982,0.7659574468085106,0.2529767714229943,0.574468085106383,0.010575075329651943
oldpeakcp >= 0.55 & sexcp >= 0.5 & thalachcp >= 110.0 & thalachcp < 160.5,0.75,0.4403669724770642,0.7619047619047619,0.3355176933158584,0.5714285714285714,0.010519122550129973
sexcp >= 0.5 & agecp >= 37.5,1.0,0.7981651376146789,0.5686274509803921,0.4538586076632487,0.5686274509803921,0.010467558223903847
oldpeakcp >= 0.55 & sexcp >= 0.5 & thalachcp >= 110.0 & agecp >= 37.5 & thalachcp < 160.5,0.75,0.4311926605504587,0.7580645161290323,0.3268718555785735,0.5685483870967742,0.010466102779211981
oldpeakcp >= 0.55 & sexcp >= 0.5 & thalcp >= 1.5 & cholcp < 272.5 & thalachcp < 160.5,0.75,0.3119266055045872,0.7555555555555555,0.2356778797145769,0.5666666666666667,0.010431463195545557
thalachcp < 160.5,1.0,0.7889908256880734,0.5657894736842105,0.4464027040077257,0.5657894736842105,0.01041531541970106
agecp >= 56.5 & sexcp >= 0.5 & thalcp >= 1.5,0.75,0.4220183486238532,0.7540983606557377,0.3182433448638893,0.5655737704918032,0.010411344655149134
oldpeakcp >= 0.55 & sexcp >= 0.5 & thalcp >= 1.5 & agecp >= 37.5 & cholcp < 272.5 & thalachcp < 160.5,0.75,0.3027522935779816,0.75,0.2270642201834862,0.5625,0.010354761260284194
agecp >= 56.5 & sexcp >= 0.5 & thalachcp < 160.5,0.75,0.3853211009174312,0.75,0.2889908256880734,0.5625,0.010354761260284194
agecp >= 37.5 & thalachcp < 160.5,1.0,0.7706422018348624,0.56,0.431559633027523,0.56,0.010308740099127377
sexcp >= 0.5,1.0,0.8165137614678899,0.559748427672956,0.4570422941549824,0.559748427672956,0.010304109038885179
oldpeakcp >= 0.55 & sexcp >= 0.5 & cholcp < 272.5 & thalachcp < 160.5,0.75,0.3761467889908257,0.7454545454545455,0.2804003336113428,0.5590909090909091,0.010292005131433987
agecp >= 56.5 & sexcp >= 0.5,0.75,0.4770642201834862,0.7428571428571429,0.3543905635648755,0.5571428571428572,0.010256144486376725
trestbpscp >= 129.0 & sexcp >= 0.5 & agecp >= 37.5 & fbscp < 0.5 & thalachcp < 160.5,0.75,0.2385321100917431,0.7428571428571429,0.1771952817824377,0.5571428571428572,0.010256144486376725
trestbpscp >= 129.0 & sexcp >= 0.5 & fbscp < 0.5 & thalachcp < 160.5,0.75,0.2385321100917431,0.7428571428571429,0.1771952817824377,0.5571428571428572,0.010256144486376725
