rule,normalized_support,coverage,h_value,ch_value,oh_value,normalized_coverage
agecp >= 37.5,0.981651376146789,0.981651376146789,0.4572649572649572,0.4488747745628479,0.4488747745628479,0.032035928143712575
thalcp >= 1.5,0.908256880733945,0.908256880733945,0.4361233480176211,0.3961120316857293,0.3961120316857293,0.029640718562874254
thalcp >= 1.5 & agecp >= 37.5,0.8899082568807339,0.8899082568807339,0.4429223744292237,0.3941602781617862,0.3941602781617862,0.02904191616766467
thalachcp >= 110.0,0.8807339449541285,0.8807339449541285,0.4210526315789473,0.3708353452438435,0.3708353452438435,0.028742514970059883
fbscp < 0.5,0.8715596330275229,0.8715596330275229,0.4502369668246445,0.3924083655811122,0.3924083655811122,0.028443113772455092
thalachcp >= 110.0 & agecp >= 37.5,0.8623853211009175,0.8623853211009175,0.4272727272727272,0.3684737281067556,0.3684737281067556,0.028143712574850304
agecp >= 37.5 & fbscp < 0.5,0.8532110091743119,0.8532110091743119,0.458128078817734,0.3908799204591675,0.3908799204591675,0.02784431137724551
sexcp >= 0.5,0.8165137614678899,0.8165137614678899,0.559748427672956,0.4570422941549824,0.4570422941549824,0.026646706586826347
thalcp >= 1.5 & fbscp < 0.5,0.8073394495412844,0.8073394495412844,0.44,0.3552293577981651,0.3552293577981651,0.02634730538922156
thalachcp >= 110.0 & thalcp >= 1.5,0.8073394495412844,0.8073394495412844,0.4093023255813953,0.3304459142308513,0.3304459142308513,0.02634730538922156
comcp < 1.5,0.7981651376146789,0.7981651376146789,0.5761589403973509,0.4598699799501792,0.4598699799501792,0.026047904191616768
sexcp >= 0.5 & agecp >= 37.5,0.7981651376146789,0.7981651376146789,0.5686274509803921,0.4538586076632487,0.4538586076632487,0.026047904191616768
thalachcp < 160.5,0.7889908256880734,0.7889908256880734,0.5657894736842105,0.4464027040077257,0.4464027040077257,0.02574850299401198
thalcp >= 1.5 & agecp >= 37.5 & fbscp < 0.5,0.7889908256880734,0.7889908256880734,0.4479166666666667,0.3534021406727829,0.3534021406727829,0.02574850299401198
thalachcp >= 110.0 & thalcp >= 1.5 & agecp >= 37.5,0.7889908256880734,0.7889908256880734,0.4154589371980676,0.3277932898993928,0.3277932898993928,0.02574850299401198
agecp >= 37.5 & comcp < 1.5,0.7798165137614679,0.7798165137614679,0.5821917808219178,0.4540027648611285,0.4540027648611285,0.025449101796407185
agecp >= 37.5 & thalachcp < 160.5,0.7706422018348624,0.7706422018348624,0.56,0.431559633027523,0.431559633027523,0.025149700598802397
thalachcp >= 110.0 & fbscp < 0.5,0.7706422018348624,0.7706422018348624,0.42,0.3236697247706422,0.3236697247706422,0.025149700598802397
oldpeakcp >= 0.55,0.7522935779816514,0.7522935779816514,0.5985401459854015,0.4502779079890177,0.4502779079890177,0.024550898203592818
thalachcp >= 110.0 & agecp >= 37.5 & fbscp < 0.5,0.7522935779816514,0.7522935779816514,0.4270833333333333,0.3212920489296636,0.3212920489296636,0.024550898203592818
oldpeakcp >= 0.55 & agecp >= 37.5,0.7431192660550459,0.7431192660550459,0.6044776119402985,0.4491989593317814,0.4491989593317814,0.024251497005988026
sexcp >= 0.5 & thalcp >= 1.5,0.7247706422018348,0.7247706422018348,0.5448275862068965,0.3948750395444479,0.3948750395444479,0.023652694610778444
oldpeakcp < 2.3499999999999996,0.7247706422018348,0.7247706422018348,0.3744075829383886,0.2713596243314926,0.2713596243314926,0.023652694610778444
thalcp >= 1.5 & comcp < 1.5,0.7247706422018348,0.7247706422018348,0.5602836879432624,0.4060771683258508,0.4060771683258508,0.023652694610778444
sexcp >= 0.5 & fbscp < 0.5,0.7247706422018348,0.7247706422018348,0.5766423357664233,0.4179334360141967,0.4179334360141967,0.023652694610778444
sexcp >= 0.5 & thalachcp >= 110.0,0.7155963302752294,0.7155963302752294,0.527027027027027,0.3771386064964046,0.3771386064964046,0.023353293413173656
comcp < 0.5,0.7155963302752294,0.7155963302752294,0.7090909090909091,0.5074228523769808,0.5074228523769808,0.023353293413173656
thalachcp >= 110.0 & thalcp >= 1.5 & fbscp < 0.5,0.7155963302752294,0.7155963302752294,0.4105263157894737,0.2937711250603573,0.2937711250603573,0.023353293413173656
sexcp >= 0.5 & thalcp >= 1.5 & agecp >= 37.5,0.7064220183486238,0.7064220183486238,0.5539568345323741,0.3913273051283744,0.3913273051283744,0.023053892215568864
comcp < 1.5 & fbscp < 0.5,0.7064220183486238,0.7064220183486238,0.5579710144927537,0.3941630102380002,0.3941630102380002,0.023053892215568864
thalcp >= 1.5 & agecp >= 37.5 & comcp < 1.5,0.7064220183486238,0.7064220183486238,0.5661764705882353,0.3999595250944414,0.3999595250944414,0.023053892215568864
agecp >= 37.5 & oldpeakcp < 2.3499999999999996,0.7064220183486238,0.7064220183486238,0.3774509803921568,0.2666396833962943,0.2666396833962943,0.023053892215568864
sexcp >= 0.5 & agecp >= 37.5 & fbscp < 0.5,0.7064220183486238,0.7064220183486238,0.5877862595419847,0.4152251558232369,0.4152251558232369,0.023053892215568864
thalcp >= 1.5 & thalachcp < 160.5,0.6972477064220184,0.6972477064220184,0.5507246376811594,0.3839914904932855,0.3839914904932855,0.022754491017964073
