rule,normalized_support,coverage,h_value,ch_value,oh_value,normalized_normalized_support
agecp >= 37.5,0.981651376146789,0.981651376146789,0.4572649572649572,0.4488747745628479,0.4488747745628479,0.026283468435273887
thalcp >= 1.5,0.908256880733945,0.908256880733945,0.4361233480176211,0.3961120316857293,0.3961120316857293,0.02431834929992631
thalcp >= 1.5 & agecp >= 37.5,0.8899082568807339,0.8899082568807339,0.4429223744292237,0.3941602781617862,0.3941602781617862,0.023827069516089414
thalachcp >= 110.0,0.8807339449541285,0.8807339449541285,0.4210526315789473,0.3708353452438435,0.3708353452438435,0.023581429624170966
fbscp < 0.5,0.8715596330275229,0.8715596330275229,0.4502369668246445,0.3924083655811122,0.3924083655811122,0.023335789732252518
thalachcp >= 110.0 & agecp >= 37.5,0.8623853211009175,0.8623853211009175,0.4272727272727272,0.3684737281067556,0.3684737281067556,0.02309014984033407
agecp >= 37.5 & fbscp < 0.5,0.8532110091743119,0.8532110091743119,0.458128078817734,0.3908799204591675,0.3908799204591675,0.022844509948415623
sexcp >= 0.5,0.8165137614678899,0.8165137614678899,0.559748427672956,0.4570422941549824,0.4570422941549824,0.021861950380741832
thalcp >= 1.5 & fbscp < 0.5,0.8073394495412844,0.8073394495412844,0.44,0.3552293577981651,0.3552293577981651,0.021616310488823388
thalachcp >= 110.0 & thalcp >= 1.5,0.8073394495412844,0.8073394495412844,0.4093023255813953,0.3304459142308513,0.3304459142308513,0.021616310488823388
comcp < 1.5,0.7981651376146789,0.7981651376146789,0.5761589403973509,0.4598699799501792,0.4598699799501792,0.021370670596904937
sexcp >= 0.5 & agecp >= 37.5,0.7981651376146789,0.7981651376146789,0.5686274509803921,0.4538586076632487,0.4538586076632487,0.021370670596904937
thalachcp < 160.5,0.7889908256880734,0.7889908256880734,0.5657894736842105,0.4464027040077257,0.4464027040077257,0.021125030704986492
thalcp >= 1.5 & agecp >= 37.5 & fbscp < 0.5,0.7889908256880734,0.7889908256880734,0.4479166666666667,0.3534021406727829,0.3534021406727829,0.021125030704986492
thalachcp >= 110.0 & thalcp >= 1.5 & agecp >= 37.5,0.7889908256880734,0.7889908256880734,0.4154589371980676,0.3277932898993928,0.3277932898993928,0.021125030704986492
agecp >= 37.5 & comcp < 1.5,0.7798165137614679,0.7798165137614679,0.5821917808219178,0.4540027648611285,0.4540027648611285,0.02087939081306804
agecp >= 37.5 & thalachcp < 160.5,0.7706422018348624,0.7706422018348624,0.56,0.431559633027523,0.431559633027523,0.020633750921149597
thalachcp >= 110.0 & fbscp < 0.5,0.7706422018348624,0.7706422018348624,0.42,0.3236697247706422,0.3236697247706422,0.020633750921149597
oldpeakcp >= 0.55,0.7522935779816514,0.7522935779816514,0.5985401459854015,0.4502779079890177,0.4502779079890177,0.0201424711373127
thalachcp >= 110.0 & agecp >= 37.5 & fbscp < 0.5,0.7522935779816514,0.7522935779816514,0.4270833333333333,0.3212920489296636,0.3212920489296636,0.0201424711373127
oldpeakcp >= 0.55 & agecp >= 37.5,0.7431192660550459,0.7431192660550459,0.6044776119402985,0.4491989593317814,0.4491989593317814,0.01989683124539425
sexcp >= 0.5 & thalcp >= 1.5,0.7247706422018348,0.7247706422018348,0.5448275862068965,0.3948750395444479,0.3948750395444479,0.019405551461557355
oldpeakcp < 2.3499999999999996,0.7247706422018348,0.7247706422018348,0.3744075829383886,0.2713596243314926,0.2713596243314926,0.019405551461557355
thalcp >= 1.5 & comcp < 1.5,0.7247706422018348,0.7247706422018348,0.5602836879432624,0.4060771683258508,0.4060771683258508,0.019405551461557355
sexcp >= 0.5 & fbscp < 0.5,0.7247706422018348,0.7247706422018348,0.5766423357664233,0.4179334360141967,0.4179334360141967,0.019405551461557355
sexcp >= 0.5 & thalachcp >= 110.0,0.7155963302752294,0.7155963302752294,0.527027027027027,0.3771386064964046,0.3771386064964046,0.01915991156963891
comcp < 0.5,0.7155963302752294,0.7155963302752294,0.7090909090909091,0.5074228523769808,0.5074228523769808,0.01915991156963891
thalachcp >= 110.0 & thalcp >= 1.5 & fbscp < 0.5,0.7155963302752294,0.7155963302752294,0.4105263157894737,0.2937711250603573,0.2937711250603573,0.01915991156963891
sexcp >= 0.5 & thalcp >= 1.5 & agecp >= 37.5,0.7064220183486238,0.7064220183486238,0.5539568345323741,0.3913273051283744,0.3913273051283744,0.018914271677720463
comcp < 1.5 & fbscp < 0.5,0.7064220183486238,0.7064220183486238,0.5579710144927537,0.3941630102380002,0.3941630102380002,0.018914271677720463
thalcp >= 1.5 & agecp >= 37.5 & comcp < 1.5,0.7064220183486238,0.7064220183486238,0.5661764705882353,0.3999595250944414,0.3999595250944414,0.018914271677720463
agecp >= 37.5 & oldpeakcp < 2.3499999999999996,0.7064220183486238,0.7064220183486238,0.3774509803921568,0.2666396833962943,0.2666396833962943,0.018914271677720463
sexcp >= 0.5 & agecp >= 37.5 & fbscp < 0.5,0.7064220183486238,0.7064220183486238,0.5877862595419847,0.4152251558232369,0.4152251558232369,0.018914271677720463
thalcp >= 1.5 & thalachcp < 160.5,0.6972477064220184,0.6972477064220184,0.5507246376811594,0.3839914904932855,0.3839914904932855,0.018668631785802015
sexcp >= 0.5 & thalachcp >= 110.0 & agecp >= 37.5,0.6972477064220184,0.6972477064220184,0.5352112676056338,0.3731748287892492,0.3731748287892492,0.018668631785802015
agecp >= 37.5 & comcp < 0.5,0.6972477064220184,0.6972477064220184,0.7102803738317757,0.4952413615707794,0.4952413615707794,0.018668631785802015
thalachcp >= 110.0 & thalcp >= 1.5 & agecp >= 37.5 & fbscp < 0.5,0.6972477064220184,0.6972477064220184,0.4175824175824176,0.2911583829015022,0.2911583829015022,0.018668631785802015
cholcp < 272.5,0.6880733944954128,0.6880733944954128,0.4213483146067415,0.2899185650963818,0.2899185650963818,0.018422991893883568
thalachcp >= 110.0 & comcp < 1.5,0.6880733944954128,0.6880733944954128,0.539568345323741,0.3712626229291795,0.3712626229291795,0.018422991893883568
thalachcp < 160.5 & fbscp < 0.5,0.6880733944954128,0.6880733944954128,0.5725190839694656,0.3939351495202745,0.3939351495202745,0.018422991893883568
agecp >= 37.5 & comcp < 1.5 & fbscp < 0.5,0.6880733944954128,0.6880733944954128,0.5639097744360902,0.3880113126853832,0.3880113126853832,0.018422991893883568
agecp >= 37.5 & cholcp < 272.5,0.6788990825688074,0.6788990825688074,0.4327485380116959,0.293792585439133,0.293792585439133,0.01817735200196512
thalcp >= 1.5 & agecp >= 37.5 & thalachcp < 160.5,0.6788990825688074,0.6788990825688074,0.5441176470588235,0.3694009713977333,0.3694009713977333,0.01817735200196512
thalachcp >= 110.0 & agecp >= 37.5 & comcp < 1.5,0.6697247706422018,0.6697247706422018,0.5447761194029851,0.3648500616185129,0.3648500616185129,0.017931712110046672
thalachcp >= 110.0 & thalachcp < 160.5,0.6697247706422018,0.6697247706422018,0.5289855072463768,0.3542746975136285,0.3542746975136285,0.017931712110046672
oldpeakcp >= 0.55 & thalcp >= 1.5,0.6697247706422018,0.6697247706422018,0.584,0.3911192660550458,0.3911192660550458,0.017931712110046672
agecp >= 37.5 & thalachcp < 160.5 & fbscp < 0.5,0.6697247706422018,0.6697247706422018,0.5658914728682171,0.3789915368750444,0.3789915368750444,0.017931712110046672
oldpeakcp >= 0.55 & thalcp >= 1.5 & agecp >= 37.5,0.6605504587155964,0.6605504587155964,0.5901639344262295,0.389833057602647,0.389833057602647,0.017686072218128224
cacp >= 0.5 & agecp >= 37.5,0.6605504587155964,0.6605504587155964,0.7346938775510204,0.4853023778318667,0.4853023778318667,0.017686072218128224
sexcp >= 0.5 & thalcp >= 1.5 & fbscp < 0.5,0.6605504587155964,0.6605504587155964,0.5669291338582677,0.3744852994293144,0.3744852994293144,0.017686072218128224
